componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,770,462,346,770,BRC0404E,Nome não encontrado
Energia,kcal,185,110,83,184,BRC0404E,Nome não encontrado
Umidade,g,"65,2","39,1","29,3","65,2",BRC0404E,Nome não encontrado
Carboidrato total,g,"0,69","0,41","0,31","0,69",BRC0404E,Nome não encontrado
Carboidrato disponível,g,"0,18","0,11","0,08","0,18",BRC0404E,Nome não encontrado
Proteína,g,"20,8","12,5","9,36","20,8",BRC0404E,Nome não encontrado
Lipídios,g,"11,1","6,64","4,98","11,1",BRC0404E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0404E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0404E,Nome não encontrado
Cinzas,g,"2,22","1,33","1,00","2,22",BRC0404E,Nome não encontrado
Colesterol,mg,137,"82,4","61,8",137,BRC0404E,Nome não encontrado
Ácidos graxos saturados,g,"4,63","2,78","2,08","4,63",BRC0404E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,31","1,38","1,04","2,31",BRC0404E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,47","2,08","1,56","3,47",BRC0404E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0404E,Nome não encontrado
Cálcio,mg,201,120,"90,6",201,BRC0404E,Nome não encontrado
Ferro,mg,"1,68","1,01","0,76","1,68",BRC0404E,Nome não encontrado
Sódio,mg,"72,4","43,4","32,6","72,4",BRC0404E,Nome não encontrado
Magnésio,mg,"37,0","22,2","16,7","37,0",BRC0404E,Nome não encontrado
Fósforo,mg,356,213,160,356,BRC0404E,Nome não encontrado
Potássio,mg,428,257,192,428,BRC0404E,Nome não encontrado
Manganês,mg,"0,14","0,08","0,06","0,14",BRC0404E,Nome não encontrado
Zinco,mg,"1,31","0,79","0,59","1,31",BRC0404E,Nome não encontrado
Cobre,mg,"0,19","0,11","0,09","0,19",BRC0404E,Nome não encontrado
Selênio,mcg,"56,8","34,1","25,5","56,8",BRC0404E,Nome não encontrado
Vitamina A (RE),mcg,"20,2","12,1","9,11","20,2",BRC0404E,Nome não encontrado
Vitamina A (RAE),mcg,"10,1","6,07","4,55","10,1",BRC0404E,Nome não encontrado
Vitamina D,mcg,"2,27","1,36","1,02","2,27",BRC0404E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,68","1,01","0,75","1,68",BRC0404E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0404E,Nome não encontrado
Riboflavina,mg,"0,08","0,05","0,04","0,08",BRC0404E,Nome não encontrado
Niacina,mg,"7,75","4,65","3,49","7,75",BRC0404E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0404E,Nome não encontrado
Vitamina B12,mcg,"5,53","3,32","2,49","5,53",BRC0404E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0404E,Nome não encontrado
Equivalente de folato,mcg,"9,58","5,75","4,31","9,58",BRC0404E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0404E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0404E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0404E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0404E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0404E,Nome não encontrado
