componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,939,375,187,BRC0003E,Nome não encontrado
Energia,kcal,226,90,45,BRC0003E,Nome não encontrado
Umidade,g,"61,0","24,4","12,2",BRC0003E,Nome não encontrado
Carboidrato total,g,"2,88","1,15","0,58",BRC0003E,Nome não encontrado
Carboidrato disponível,g,"2,88","1,15","0,58",BRC0003E,Nome não encontrado
Proteína,g,"18,4","7,36","3,68",BRC0003E,Nome não encontrado
Lipídios,g,"15,6","6,25","3,12",BRC0003E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0003E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0003E,Nome não encontrado
Cinzas,g,"2,07","0,83","0,41",BRC0003E,Nome não encontrado
Colesterol,mg,283,113,"56,6",BRC0003E,Nome não encontrado
Ácidos graxos saturados,g,"2,47","0,99","0,49",BRC0003E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,61","1,44","0,72",BRC0003E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,83","3,53","1,77",BRC0003E,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0003E,Nome não encontrado
Cálcio,mg,959,383,191,BRC0003E,Nome não encontrado
Ferro,mg,"2,44","0,98","0,49",BRC0003E,Nome não encontrado
Sódio,mg,"99,1","39,6","19,8",BRC0003E,Nome não encontrado
Magnésio,mg,"74,0","29,6","14,8",BRC0003E,Nome não encontrado
Fósforo,mg,336,134,"67,4",BRC0003E,Nome não encontrado
Potássio,mg,106,"42,7","21,4",BRC0003E,Nome não encontrado
Manganês,mg,"0,38","0,15","0,08",BRC0003E,Nome não encontrado
Zinco,mg,"1,10","0,44","0,22",BRC0003E,Nome não encontrado
Cobre,mg,"0,19","0,08","0,04",BRC0003E,Nome não encontrado
Selênio,mcg,,,,BRC0003E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0003E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0003E,Nome não encontrado
Vitamina D,mcg,"0,13","0,05","0,03",BRC0003E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,65","0,66","0,33",BRC0003E,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01",BRC0003E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0003E,Nome não encontrado
Niacina,mg,"0,35","0,14","0,07",BRC0003E,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0003E,Nome não encontrado
Vitamina B12,mcg,"1,55","0,62","0,31",BRC0003E,Nome não encontrado
Vitamina C,mg,"1,24","0,50","0,25",BRC0003E,Nome não encontrado
Equivalente de folato,mcg,"32,2","12,9","6,45",BRC0003E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0003E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0003E,Nome não encontrado
Gordura de adição,g,,,,BRC0003E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0003E,Nome não encontrado
Proteína animal,g,"18,4","7,36","3,68",BRC0003E,Nome não encontrado
