componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1329,398,212,BRC0067L,Nome não encontrado
Energia,kcal,322,96,51,BRC0067L,Nome não encontrado
Umidade,g,"44,3","13,3","7,09",BRC0067L,Nome não encontrado
Carboidrato total,g,"20,3","6,09","3,25",BRC0067L,Nome não encontrado
Carboidrato disponível,g,"8,93","2,68","1,43",BRC0067L,Nome não encontrado
Proteína,g,"2,37","0,71","0,38",BRC0067L,Nome não encontrado
Lipídios,g,"28,3","8,48","4,52",BRC0067L,Nome não encontrado
Fibra alimentar,g,"11,4","3,42","1,82",BRC0067L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Cinzas,g,"4,72","1,41","0,75",BRC0067L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Ácidos graxos saturados,g,"5,44","1,63","0,87",BRC0067L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"18,6","5,57","2,97",BRC0067L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,36","1,01","0,54",BRC0067L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Cálcio,mg,383,114,"61,3",BRC0067L,Nome não encontrado
Ferro,mg,"8,35","2,50","1,34",BRC0067L,Nome não encontrado
Sódio,mg,987,296,158,BRC0067L,Nome não encontrado
Magnésio,mg,"61,7","18,5","9,87",BRC0067L,Nome não encontrado
Fósforo,mg,"38,8","11,6","6,20",BRC0067L,Nome não encontrado
Potássio,mg,493,148,"79,0",BRC0067L,Nome não encontrado
Manganês,mg,"1,08","0,32","0,17",BRC0067L,Nome não encontrado
Zinco,mg,"1,27","0,38","0,20",BRC0067L,Nome não encontrado
Cobre,mg,"0,21","0,06","0,03",BRC0067L,Nome não encontrado
Selênio,mcg,"1,40","0,42","0,22",BRC0067L,Nome não encontrado
Vitamina A (RE),mcg,306,"91,9","49,0",BRC0067L,Nome não encontrado
Vitamina A (RAE),mcg,191,"57,4","30,6",BRC0067L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,65","1,40","0,74",BRC0067L,Nome não encontrado
Tiamina,mg,"0,24","0,07","0,04",BRC0067L,Nome não encontrado
Riboflavina,mg,"0,16","0,05","0,03",BRC0067L,Nome não encontrado
Niacina,mg,"0,48","0,14","0,08",BRC0067L,Nome não encontrado
Vitamina B6,mg,"0,61","0,18","0,10",BRC0067L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Vitamina C,mg,"40,9","12,3","6,55",BRC0067L,Nome não encontrado
Equivalente de folato,mcg,122,"36,7","19,6",BRC0067L,Nome não encontrado
Sal de adição,g,"2,44","0,73","0,39",BRC0067L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0067L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0067L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0067L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0067L,Nome não encontrado
