componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,1073,321,BRC0181C,Nome não encontrado
Energia,kcal,253,76,BRC0181C,Nome não encontrado
Umidade,g,"30,9","9,28",BRC0181C,Nome não encontrado
Carboidrato total,g,"63,9","19,2",BRC0181C,Nome não encontrado
Carboidrato disponível,g,"56,8","17,0",BRC0181C,Nome não encontrado
Proteína,g,"2,18","0,65",BRC0181C,Nome não encontrado
Lipídios,g,"0,38","0,11",BRC0181C,Nome não encontrado
Fibra alimentar,g,"7,10","2,13",BRC0181C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0181C,Nome não encontrado
Cinzas,g,"2,64","0,79",BRC0181C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0181C,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,03",BRC0181C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,02",BRC0181C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,02",BRC0181C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0181C,Nome não encontrado
Cálcio,mg,"43,0","12,9",BRC0181C,Nome não encontrado
Ferro,mg,"0,93","0,28",BRC0181C,Nome não encontrado
Sódio,mg,"2,00","0,60",BRC0181C,Nome não encontrado
Magnésio,mg,"41,0","12,3",BRC0181C,Nome não encontrado
Fósforo,mg,"69,0","20,7",BRC0181C,Nome não encontrado
Potássio,mg,732,219,BRC0181C,Nome não encontrado
Manganês,mg,"0,30","0,09",BRC0181C,Nome não encontrado
Zinco,mg,"0,44","0,13",BRC0181C,Nome não encontrado
Cobre,mg,"0,28","0,08",BRC0181C,Nome não encontrado
Selênio,mcg,"0,30","0,09",BRC0181C,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0181C,Nome não encontrado
Vitamina A (RAE),mcg,"39,0","11,7",BRC0181C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0181C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,13",BRC0181C,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0181C,Nome não encontrado
Riboflavina,mg,"0,19","0,06",BRC0181C,Nome não encontrado
Niacina,mg,"1,88","0,56",BRC0181C,Nome não encontrado
Vitamina B6,mg,"0,21","0,06",BRC0181C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0181C,Nome não encontrado
Vitamina C,mg,"0,60","0,18",BRC0181C,Nome não encontrado
Equivalente de folato,mcg,"4,00","1,20",BRC0181C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0181C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0181C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0181C,Nome não encontrado
Proteína vegetal,g,"2,18","0,65",BRC0181C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0181C,Nome não encontrado
