componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),Escumadeira cheia (110 g),Escumadeira rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,175,166,105,105,52,192,140,BRC0284B,Nome não encontrado
Energia,kcal,42,40,25,25,12,46,33,BRC0284B,Nome não encontrado
Umidade,g,"87,1","82,8","52,3","52,3","26,1","95,8","69,7",BRC0284B,Nome não encontrado
Carboidrato total,g,"8,46","8,04","5,07","5,07","2,54","9,30","6,77",BRC0284B,Nome não encontrado
Carboidrato disponível,g,"2,31","2,19","1,39","1,39","0,69","2,54","1,85",BRC0284B,Nome não encontrado
Proteína,g,"1,90","1,80","1,14","1,14","0,57","2,09","1,52",BRC0284B,Nome não encontrado
Lipídios,g,"1,48","1,41","0,89","0,89","0,44","1,63","1,18",BRC0284B,Nome não encontrado
Fibra alimentar,g,"6,15","5,84","3,69","3,69","1,84","6,76","4,92",BRC0284B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0284B,Nome não encontrado
Cinzas,g,"1,05","1,00","0,63","0,63","0,32","1,16","0,84",BRC0284B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0284B,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,22","0,14","0,14","0,07","0,26","0,19",BRC0284B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,30","0,19","0,19","0,09","0,35","0,25",BRC0284B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,86","0,81","0,51","0,51","0,26","0,94","0,68",BRC0284B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,00","0,00","0,01","0,00",BRC0284B,Nome não encontrado
Cálcio,mg,"25,8","24,5","15,5","15,5","7,74","28,4","20,6",BRC0284B,Nome não encontrado
Ferro,mg,"0,44","0,42","0,26","0,26","0,13","0,49","0,35",BRC0284B,Nome não encontrado
Sódio,mg,127,121,"76,7","76,7","38,4",140,102,BRC0284B,Nome não encontrado
Magnésio,mg,"26,5","25,2","15,9","15,9","7,96","29,2","21,2",BRC0284B,Nome não encontrado
Fósforo,mg,"39,8","37,8","23,9","23,9","12,0","43,8","31,9",BRC0284B,Nome não encontrado
Potássio,mg,280,266,168,168,"84,2",308,224,BRC0284B,Nome não encontrado
Manganês,mg,"0,18","0,17","0,11","0,11","0,06","0,20","0,15",BRC0284B,Nome não encontrado
Zinco,mg,"0,19","0,18","0,12","0,12","0,06","0,21","0,15",BRC0284B,Nome não encontrado
Cobre,mg,"0,13","0,13","0,08","0,08","0,04","0,15","0,11",BRC0284B,Nome não encontrado
Selênio,mcg,"0,24","0,23","0,14","0,14","0,07","0,27","0,19",BRC0284B,Nome não encontrado
Vitamina A (RE),mcg,"15,3","14,6","9,20","9,20","4,60","16,9","12,3",BRC0284B,Nome não encontrado
Vitamina A (RAE),mcg,"7,66","7,28","4,60","4,60","2,30","8,43","6,13",BRC0284B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0284B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,62","0,58","0,37","0,37","0,18","0,68","0,49",BRC0284B,Nome não encontrado
Tiamina,mg,"0,08","0,08","0,05","0,05","0,02","0,09","0,07",BRC0284B,Nome não encontrado
Riboflavina,mg,"0,05","0,04","0,03","0,03","0,01","0,05","0,04",BRC0284B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0284B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01","0,00","0,01","0,01",BRC0284B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0284B,Nome não encontrado
Vitamina C,mg,"7,22","6,86","4,33","4,33","2,17","7,94","5,78",BRC0284B,Nome não encontrado
Equivalente de folato,mcg,"21,5","20,5","12,9","12,9","6,46","23,7","17,2",BRC0284B,Nome não encontrado
Sal de adição,g,"0,32","0,30","0,19","0,19","0,10","0,35","0,26",BRC0284B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0284B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0284B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0284B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0284B,Nome não encontrado
