componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,324,777,534,BRC0074G,Nome não encontrado
Energia,kcal,77,184,127,BRC0074G,Nome não encontrado
Umidade,g,"82,7",198,136,BRC0074G,Nome não encontrado
Carboidrato total,g,"10,9","26,2","18,0",BRC0074G,Nome não encontrado
Carboidrato disponível,g,"10,3","24,8","17,0",BRC0074G,Nome não encontrado
Proteína,g,"2,78","6,68","4,59",BRC0074G,Nome não encontrado
Lipídios,g,"2,60","6,24","4,29",BRC0074G,Nome não encontrado
Fibra alimentar,g,"0,61","1,46","1,00",BRC0074G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0074G,Nome não encontrado
Cinzas,g,"0,72","1,73","1,19",BRC0074G,Nome não encontrado
Colesterol,mg,"9,09","21,8","15,0",BRC0074G,Nome não encontrado
Ácidos graxos saturados,g,"1,53","3,67","2,52",BRC0074G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,75","1,80","1,24",BRC0074G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,36","0,25",BRC0074G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0074G,Nome não encontrado
Cálcio,mg,"80,6",193,132,BRC0074G,Nome não encontrado
Ferro,mg,"0,22","0,53","0,37",BRC0074G,Nome não encontrado
Sódio,mg,"47,0",112,"77,5",BRC0074G,Nome não encontrado
Magnésio,mg,"15,7","37,7","25,9",BRC0074G,Nome não encontrado
Fósforo,mg,"69,3",166,114,BRC0074G,Nome não encontrado
Potássio,mg,188,452,310,BRC0074G,Nome não encontrado
Manganês,mg,"0,07","0,17","0,11",BRC0074G,Nome não encontrado
Zinco,mg,"0,37","0,90","0,62",BRC0074G,Nome não encontrado
Cobre,mg,"0,05","0,11","0,08",BRC0074G,Nome não encontrado
Selênio,mcg,"3,57","8,56","5,88",BRC0074G,Nome não encontrado
Vitamina A (RE),mcg,"36,5","87,5","60,2",BRC0074G,Nome não encontrado
Vitamina A (RAE),mcg,"35,9","86,1","59,2",BRC0074G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0074G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,12",BRC0074G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0074G,Nome não encontrado
Riboflavina,mg,"0,18","0,43","0,30",BRC0074G,Nome não encontrado
Niacina,mg,"1,21","2,90","1,99",BRC0074G,Nome não encontrado
Vitamina B6,mg,"0,03","0,07","0,05",BRC0074G,Nome não encontrado
Vitamina B12,mcg,"0,27","0,66","0,45",BRC0074G,Nome não encontrado
Vitamina C,mg,"1,33","3,19","2,20",BRC0074G,Nome não encontrado
Equivalente de folato,mcg,"4,92","11,8","8,12",BRC0074G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0074G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0074G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0074G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0074G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0074G,Nome não encontrado
