componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,446,17,4,BRC0833B,Nome não encontrado
Energia,kcal,107,4,1,BRC0833B,Nome não encontrado
Umidade,g,"65,1","2,60","0,65",BRC0833B,Nome não encontrado
Carboidrato total,g,"24,5","0,98","0,24",BRC0833B,Nome não encontrado
Carboidrato disponível,g,"10,5","0,42","0,10",BRC0833B,Nome não encontrado
Proteína,g,"5,56","0,22","0,06",BRC0833B,Nome não encontrado
Lipídios,g,"1,68","0,07","0,02",BRC0833B,Nome não encontrado
Fibra alimentar,g,"14,0","0,56","0,14",BRC0833B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Cinzas,g,"3,20","0,13","0,03",BRC0833B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,02","0,00",BRC0833B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,00","0,00",BRC0833B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,53","0,02","0,01",BRC0833B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Cálcio,mg,405,"16,2","4,05",BRC0833B,Nome não encontrado
Ferro,mg,"17,5","0,70","0,17",BRC0833B,Nome não encontrado
Sódio,mg,"9,00","0,36","0,09",BRC0833B,Nome não encontrado
Magnésio,mg,160,"6,40","1,60",BRC0833B,Nome não encontrado
Fósforo,mg,106,"4,24","1,06",BRC0833B,Nome não encontrado
Potássio,mg,609,"24,4","6,09",BRC0833B,Nome não encontrado
Manganês,mg,"1,72","0,07","0,02",BRC0833B,Nome não encontrado
Zinco,mg,"1,81","0,07","0,02",BRC0833B,Nome não encontrado
Cobre,mg,"0,56","0,02","0,01",BRC0833B,Nome não encontrado
Selênio,mcg,,,,BRC0833B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0833B,Nome não encontrado
Vitamina A (RAE),mcg,238,"9,52","2,38",BRC0833B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0833B,Nome não encontrado
Tiamina,mg,"0,05","0,00","0,00",BRC0833B,Nome não encontrado
Riboflavina,mg,"0,47","0,02","0,00",BRC0833B,Nome não encontrado
Niacina,mg,"1,82","0,07","0,02",BRC0833B,Nome não encontrado
Vitamina B6,mg,"0,35","0,01","0,00",BRC0833B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Vitamina C,mg,160,"6,40","1,60",BRC0833B,Nome não encontrado
Equivalente de folato,mcg,"45,0","1,80","0,45",BRC0833B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
Proteína vegetal,g,"5,56","0,22","0,06",BRC0833B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0833B,Nome não encontrado
