componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,489,220,BRC0389E,Nome não encontrado
Energia,kcal,117,52,BRC0389E,Nome não encontrado
Umidade,g,"76,2","34,3",BRC0389E,Nome não encontrado
Carboidrato total,g,"6,37","2,87",BRC0389E,Nome não encontrado
Carboidrato disponível,g,"5,99","2,70",BRC0389E,Nome não encontrado
Proteína,g,"10,8","4,86",BRC0389E,Nome não encontrado
Lipídios,g,"5,38","2,42",BRC0389E,Nome não encontrado
Fibra alimentar,g,"0,38","0,17",BRC0389E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0389E,Nome não encontrado
Cinzas,g,"1,21","0,55",BRC0389E,Nome não encontrado
Colesterol,mg,125,"56,7",BRC0389E,Nome não encontrado
Ácidos graxos saturados,g,"1,93","0,87",BRC0389E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,24","0,56",BRC0389E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,69","0,76",BRC0389E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0389E,Nome não encontrado
Cálcio,mg,"98,9","44,5",BRC0389E,Nome não encontrado
Ferro,mg,"1,44","0,65",BRC0389E,Nome não encontrado
Sódio,mg,242,109,BRC0389E,Nome não encontrado
Magnésio,mg,"17,1","7,70",BRC0389E,Nome não encontrado
Fósforo,mg,181,"81,6",BRC0389E,Nome não encontrado
Potássio,mg,163,"73,5",BRC0389E,Nome não encontrado
Manganês,mg,"0,11","0,05",BRC0389E,Nome não encontrado
Zinco,mg,"0,82","0,37",BRC0389E,Nome não encontrado
Cobre,mg,"0,23","0,10",BRC0389E,Nome não encontrado
Selênio,mcg,"2,39","1,07",BRC0389E,Nome não encontrado
Vitamina A (RE),mcg,"35,3","15,9",BRC0389E,Nome não encontrado
Vitamina A (RAE),mcg,"35,0","15,7",BRC0389E,Nome não encontrado
Vitamina D,mcg,"0,04","0,02",BRC0389E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","0,61",BRC0389E,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0389E,Nome não encontrado
Riboflavina,mg,"0,11","0,05",BRC0389E,Nome não encontrado
Niacina,mg,"0,75","0,34",BRC0389E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0389E,Nome não encontrado
Vitamina B12,mcg,"0,96","0,43",BRC0389E,Nome não encontrado
Vitamina C,mg,"3,48","1,57",BRC0389E,Nome não encontrado
Equivalente de folato,mcg,"19,9","8,96",BRC0389E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0389E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0389E,Nome não encontrado
Gordura de adição,g,-,-,BRC0389E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0389E,Nome não encontrado
Proteína animal,g,-,-,BRC0389E,Nome não encontrado
