componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,2682,804,BRC0022U,Nome não encontrado
Energia,kcal,649,194,BRC0022U,Nome não encontrado
Umidade,g,"6,20","1,86",BRC0022U,Nome não encontrado
Carboidrato total,g,"18,3","5,49",BRC0022U,Nome não encontrado
Carboidrato disponível,g,"11,1","3,33",BRC0022U,Nome não encontrado
Proteína,g,"14,0","4,20",BRC0022U,Nome não encontrado
Lipídios,g,"59,4","17,8",BRC0022U,Nome não encontrado
Fibra alimentar,g,"7,20","2,16",BRC0022U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0022U,Nome não encontrado
Cinzas,g,"2,10","0,63",BRC0022U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0022U,Nome não encontrado
Ácidos graxos saturados,g,"5,02","1,51",BRC0022U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"35,2","10,6",BRC0022U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"16,5","4,94",BRC0022U,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0022U,Nome não encontrado
Cálcio,mg,105,"31,5",BRC0022U,Nome não encontrado
Ferro,mg,"2,00","0,60",BRC0022U,Nome não encontrado
Sódio,mg,"5,00","1,50",BRC0022U,Nome não encontrado
Magnésio,mg,153,"45,9",BRC0022U,Nome não encontrado
Fósforo,mg,396,118,BRC0022U,Nome não encontrado
Potássio,mg,533,159,BRC0022U,Nome não encontrado
Manganês,mg,"4,05","1,22",BRC0022U,Nome não encontrado
Zinco,mg,"2,10","0,63",BRC0022U,Nome não encontrado
Cobre,mg,"0,75","0,23",BRC0022U,Nome não encontrado
Selênio,mcg,"3,76","1,13",BRC0022U,Nome não encontrado
Vitamina A (RE),mcg,"14,0","4,20",BRC0022U,Nome não encontrado
Vitamina A (RAE),mcg,"7,00","2,10",BRC0022U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0022U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,04","0,31",BRC0022U,Nome não encontrado
Tiamina,mg,"0,38","0,11",BRC0022U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0022U,Nome não encontrado
Niacina,mg,"0,13","0,04",BRC0022U,Nome não encontrado
Vitamina B6,mg,"0,18","0,05",BRC0022U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0022U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0022U,Nome não encontrado
Equivalente de folato,mcg,"11,4","3,41",BRC0022U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0022U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0022U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0022U,Nome não encontrado
Proteína vegetal,g,"9,50","2,85",BRC0022U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0022U,Nome não encontrado
