componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,344,137,68,BRC0346E,Nome não encontrado
Energia,kcal,82,32,16,BRC0346E,Nome não encontrado
Umidade,g,"81,0","32,4","16,2",BRC0346E,Nome não encontrado
Carboidrato total,g,"1,34","0,54","0,27",BRC0346E,Nome não encontrado
Carboidrato disponível,g,"0,83","0,33","0,17",BRC0346E,Nome não encontrado
Proteína,g,"14,7","5,86","2,93",BRC0346E,Nome não encontrado
Lipídios,g,"2,07","0,83","0,41",BRC0346E,Nome não encontrado
Fibra alimentar,g,"0,51","0,20","0,10",BRC0346E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0346E,Nome não encontrado
Cinzas,g,"1,54","0,61","0,31",BRC0346E,Nome não encontrado
Colesterol,mg,245,"98,2","49,1",BRC0346E,Nome não encontrado
Ácidos graxos saturados,g,"0,57","0,23","0,11",BRC0346E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,45","0,18","0,09",BRC0346E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,83","0,33","0,17",BRC0346E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0346E,Nome não encontrado
Cálcio,mg,"69,2","27,7","13,8",BRC0346E,Nome não encontrado
Ferro,mg,"1,89","0,76","0,38",BRC0346E,Nome não encontrado
Sódio,mg,354,141,"70,8",BRC0346E,Nome não encontrado
Magnésio,mg,"17,3","6,93","3,46",BRC0346E,Nome não encontrado
Fósforo,mg,205,"82,3","41,2",BRC0346E,Nome não encontrado
Potássio,mg,137,"55,0","27,5",BRC0346E,Nome não encontrado
Manganês,mg,"0,06","0,03","0,01",BRC0346E,Nome não encontrado
Zinco,mg,"0,97","0,39","0,19",BRC0346E,Nome não encontrado
Cobre,mg,"0,15","0,06","0,03",BRC0346E,Nome não encontrado
Selênio,mcg,"35,3","14,1","7,06",BRC0346E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","10,9","5,47",BRC0346E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","5,47","2,73",BRC0346E,Nome não encontrado
Vitamina D,mcg,"0,06","0,02","0,01",BRC0346E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,36","0,54","0,27",BRC0346E,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01",BRC0346E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0346E,Nome não encontrado
Niacina,mg,"0,80","0,32","0,16",BRC0346E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00",BRC0346E,Nome não encontrado
Vitamina B12,mcg,"1,23","0,49","0,25",BRC0346E,Nome não encontrado
Vitamina C,mg,"4,07","1,63","0,81",BRC0346E,Nome não encontrado
Equivalente de folato,mcg,"16,7","6,68","3,34",BRC0346E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0346E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0346E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0346E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0346E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0346E,Nome não encontrado
