componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 mL),codigo_alimento,nome_alimento
Energia,kJ,560,280,BRC0046H,Nome não encontrado
Energia,kcal,135,67,BRC0046H,Nome não encontrado
Umidade,g,"78,4","39,2",BRC0046H,Nome não encontrado
Carboidrato total,g,"5,00","2,50",BRC0046H,Nome não encontrado
Carboidrato disponível,g,"5,00","2,50",BRC0046H,Nome não encontrado
Proteína,g,"0,50","0,25",BRC0046H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0046H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0046H,Nome não encontrado
Álcool,g,"16,1","8,05",BRC0046H,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0046H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0046H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0046H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0046H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0046H,Nome não encontrado
Cálcio,mg,"5,00","2,50",BRC0046H,Nome não encontrado
Ferro,mg,"0,10","0,05",BRC0046H,Nome não encontrado
Sódio,mg,"2,00","1,00",BRC0046H,Nome não encontrado
Magnésio,mg,"6,00","3,00",BRC0046H,Nome não encontrado
Fósforo,mg,"6,00","3,00",BRC0046H,Nome não encontrado
Potássio,mg,"25,0","12,5",BRC0046H,Nome não encontrado
Manganês,mg,,traços,BRC0046H,Nome não encontrado
Zinco,mg,"0,02","0,01",BRC0046H,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0046H,Nome não encontrado
Selênio,mcg,"1,40","0,70",BRC0046H,Nome não encontrado
Vitamina A (RE),mcg,,traços,BRC0046H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0046H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0046H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0046H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0046H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0046H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0046H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0046H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0046H,Nome não encontrado
Gordura de adição,g,-,-,BRC0046H,Nome não encontrado
Proteína vegetal,g,"0,50","0,25",BRC0046H,Nome não encontrado
Proteína animal,g,-,-,BRC0046H,Nome não encontrado
