componente,unidade,Valor por 100g,Concha cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,320,352,BRC0381E,Nome não encontrado
Energia,kcal,76,83,BRC0381E,Nome não encontrado
Umidade,g,"81,5","89,7",BRC0381E,Nome não encontrado
Carboidrato total,g,"2,40","2,64",BRC0381E,Nome não encontrado
Carboidrato disponível,g,"1,96","2,16",BRC0381E,Nome não encontrado
Proteína,g,"12,6","13,9",BRC0381E,Nome não encontrado
Lipídios,g,"1,86","2,05",BRC0381E,Nome não encontrado
Fibra alimentar,g,"0,44","0,48",BRC0381E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0381E,Nome não encontrado
Cinzas,g,"1,61","1,77",BRC0381E,Nome não encontrado
Colesterol,mg,"73,7","81,1",BRC0381E,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,40",BRC0381E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,42",BRC0381E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,87",BRC0381E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0381E,Nome não encontrado
Cálcio,mg,"30,4","33,4",BRC0381E,Nome não encontrado
Ferro,mg,"5,76","6,34",BRC0381E,Nome não encontrado
Sódio,mg,355,390,BRC0381E,Nome não encontrado
Magnésio,mg,246,270,BRC0381E,Nome não encontrado
Fósforo,mg,111,122,BRC0381E,Nome não encontrado
Potássio,mg,195,214,BRC0381E,Nome não encontrado
Manganês,mg,"0,30","0,33",BRC0381E,Nome não encontrado
Zinco,mg,"1,06","1,17",BRC0381E,Nome não encontrado
Cobre,mg,"0,43","0,47",BRC0381E,Nome não encontrado
Selênio,mcg,"14,1","15,5",BRC0381E,Nome não encontrado
Vitamina A (RE),mcg,"19,5","21,5",BRC0381E,Nome não encontrado
Vitamina A (RAE),mcg,"30,9","34,0",BRC0381E,Nome não encontrado
Vitamina D,mcg,"0,15","0,17",BRC0381E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,63",BRC0381E,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0381E,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0381E,Nome não encontrado
Niacina,mg,"2,26","2,49",BRC0381E,Nome não encontrado
Vitamina B6,mg,"0,10","0,11",BRC0381E,Nome não encontrado
Vitamina B12,mcg,"5,14","5,65",BRC0381E,Nome não encontrado
Vitamina C,mg,"8,27","9,10",BRC0381E,Nome não encontrado
Equivalente de folato,mcg,"12,2","13,4",BRC0381E,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0381E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0381E,Nome não encontrado
Gordura de adição,g,"0,96","1,06",BRC0381E,Nome não encontrado
Proteína vegetal,g,"0,37","0,41",BRC0381E,Nome não encontrado
Proteína animal,g,"12,2","13,4",BRC0381E,Nome não encontrado
