componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,37,74,BRC0059H,Nome não encontrado
Energia,kcal,9,17,BRC0059H,Nome não encontrado
Umidade,g,"97,8",195,BRC0059H,Nome não encontrado
Carboidrato total,g,"1,69","3,38",BRC0059H,Nome não encontrado
Carboidrato disponível,g,"1,69","3,38",BRC0059H,Nome não encontrado
Proteína,g,"0,10","0,20",BRC0059H,Nome não encontrado
Lipídios,g,"0,18","0,36",BRC0059H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0059H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059H,Nome não encontrado
Cinzas,g,"0,23","0,46",BRC0059H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0059H,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,18",BRC0059H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0059H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,18",BRC0059H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0059H,Nome não encontrado
Cálcio,mg,"2,00","4,00",BRC0059H,Nome não encontrado
Ferro,mg,"0,13","0,26",BRC0059H,Nome não encontrado
Sódio,mg,"14,0","28,0",BRC0059H,Nome não encontrado
Magnésio,mg,"80,0",160,BRC0059H,Nome não encontrado
Fósforo,mg,"7,00","14,0",BRC0059H,Nome não encontrado
Potássio,mg,115,230,BRC0059H,Nome não encontrado
Manganês,mg,"0,05","0,10",BRC0059H,Nome não encontrado
Zinco,mg,"0,05","0,10",BRC0059H,Nome não encontrado
Cobre,mg,"0,05","0,10",BRC0059H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0059H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0059H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0059H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0059H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,20",BRC0059H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0059H,Nome não encontrado
Riboflavina,mg,"0,18","0,35",BRC0059H,Nome não encontrado
Niacina,mg,"5,21","10,4",BRC0059H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0059H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0059H,Nome não encontrado
Vitamina C,mg,"0,20","0,40",BRC0059H,Nome não encontrado
Equivalente de folato,mcg,"1,00","2,00",BRC0059H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0059H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0059H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0059H,Nome não encontrado
Proteína vegetal,g,"0,10","0,20",BRC0059H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0059H,Nome não encontrado
