componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Concha cheia (120 g),codigo_alimento,nome_alimento
Energia,kJ,477,119,572,BRC0184A,Nome não encontrado
Energia,kcal,113,28,135,BRC0184A,Nome não encontrado
Umidade,g,"72,5","18,1","87,0",BRC0184A,Nome não encontrado
Carboidrato total,g,"23,6","5,91","28,4",BRC0184A,Nome não encontrado
Carboidrato disponível,g,"22,4","5,60","26,9",BRC0184A,Nome não encontrado
Proteína,g,"2,36","0,59","2,83",BRC0184A,Nome não encontrado
Lipídios,g,"1,24","0,31","1,49",BRC0184A,Nome não encontrado
Fibra alimentar,g,"1,22","0,30","1,46",BRC0184A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
Cinzas,g,"0,27","0,07","0,33",BRC0184A,Nome não encontrado
Colesterol,mg,"1,35","0,34","1,62",BRC0184A,Nome não encontrado
Ácidos graxos saturados,g,"0,60","0,15","0,72",BRC0184A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,37","0,09","0,44",BRC0184A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,04","0,18",BRC0184A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,03",BRC0184A,Nome não encontrado
Cálcio,mg,"42,6","10,6","51,1",BRC0184A,Nome não encontrado
Ferro,mg,"0,06","0,01","0,07",BRC0184A,Nome não encontrado
Sódio,mg,"27,6","6,90","33,1",BRC0184A,Nome não encontrado
Magnésio,mg,"5,84","1,46","7,01",BRC0184A,Nome não encontrado
Fósforo,mg,"40,6","10,1","48,7",BRC0184A,Nome não encontrado
Potássio,mg,"69,8","17,5","83,8",BRC0184A,Nome não encontrado
Manganês,mg,"0,02","0,01","0,02",BRC0184A,Nome não encontrado
Zinco,mg,"0,28","0,07","0,33",BRC0184A,Nome não encontrado
Cobre,mg,"0,03","0,01","0,03",BRC0184A,Nome não encontrado
Selênio,mcg,"4,54","1,14","5,45",BRC0184A,Nome não encontrado
Vitamina A (RE),mcg,"0,58","0,14","0,69",BRC0184A,Nome não encontrado
Vitamina A (RAE),mcg,"0,29","0,07","0,35",BRC0184A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,01","0,05",BRC0184A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0184A,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,05",BRC0184A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0184A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0184A,Nome não encontrado
Vitamina B12,mcg,"0,13","0,03","0,15",BRC0184A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0184A,Nome não encontrado
Equivalente de folato,mcg,"3,76","0,94","4,51",BRC0184A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
Açúcar de adição,g,"7,00","1,75","8,40",BRC0184A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0184A,Nome não encontrado
