componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,1131,1244,BRC0842B,Nome não encontrado
Energia,kcal,267,294,BRC0842B,Nome não encontrado
Umidade,g,"37,8","41,6",BRC0842B,Nome não encontrado
Carboidrato total,g,"50,8","55,9",BRC0842B,Nome não encontrado
Carboidrato disponível,g,"50,7","55,7",BRC0842B,Nome não encontrado
Proteína,g,"6,46","7,10",BRC0842B,Nome não encontrado
Lipídios,g,"4,30","4,73",BRC0842B,Nome não encontrado
Fibra alimentar,g,"0,14","0,15",BRC0842B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0842B,Nome não encontrado
Cinzas,g,"0,62","0,68",BRC0842B,Nome não encontrado
Colesterol,mg,"24,3","26,8",BRC0842B,Nome não encontrado
Ácidos graxos saturados,g,"2,22","2,44",BRC0842B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,13","1,24",BRC0842B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,15",BRC0842B,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,12",BRC0842B,Nome não encontrado
Cálcio,mg,"59,4","65,4",BRC0842B,Nome não encontrado
Ferro,mg,"0,36","0,40",BRC0842B,Nome não encontrado
Sódio,mg,"90,0","99,0",BRC0842B,Nome não encontrado
Magnésio,mg,"6,06","6,67",BRC0842B,Nome não encontrado
Fósforo,mg,105,116,BRC0842B,Nome não encontrado
Potássio,mg,"70,4","77,5",BRC0842B,Nome não encontrado
Manganês,mg,"0,05","0,06",BRC0842B,Nome não encontrado
Zinco,mg,"0,35","0,39",BRC0842B,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0842B,Nome não encontrado
Selênio,mcg,"3,69","4,06",BRC0842B,Nome não encontrado
Vitamina A (RE),mcg,"32,2","35,4",BRC0842B,Nome não encontrado
Vitamina A (RAE),mcg,"32,0","35,2",BRC0842B,Nome não encontrado
Vitamina D,mcg,"0,07","0,07",BRC0842B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,17",BRC0842B,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0842B,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0842B,Nome não encontrado
Niacina,mg,"1,14","1,25",BRC0842B,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0842B,Nome não encontrado
Vitamina B12,mcg,"0,08","0,09",BRC0842B,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0842B,Nome não encontrado
Equivalente de folato,mcg,"2,62","2,88",BRC0842B,Nome não encontrado
Sal de adição,g,,,BRC0842B,Nome não encontrado
Açúcar de adição,g,,,BRC0842B,Nome não encontrado
Gordura de adição,g,-,-,BRC0842B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0842B,Nome não encontrado
Proteína animal,g,-,-,BRC0842B,Nome não encontrado
