componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,153,367,252,BRC0034N,Nome não encontrado
Energia,kcal,36,86,59,BRC0034N,Nome não encontrado
Umidade,g,"90,0",216,148,BRC0034N,Nome não encontrado
Carboidrato total,g,"4,80","11,5","7,92",BRC0034N,Nome não encontrado
Carboidrato disponível,g,"4,80","11,5","7,92",BRC0034N,Nome não encontrado
Proteína,g,"4,20","10,1","6,93",BRC0034N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Cinzas,g,"1,00","2,40","1,65",BRC0034N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Cálcio,mg,156,376,258,BRC0034N,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Magnésio,mg,"12,0","28,8","19,8",BRC0034N,Nome não encontrado
Fósforo,mg,109,263,180,BRC0034N,Nome não encontrado
Potássio,mg,182,437,300,BRC0034N,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Zinco,mg,"0,51","1,23","0,85",BRC0034N,Nome não encontrado
Cobre,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Selênio,mcg,"2,44","5,85","4,02",BRC0034N,Nome não encontrado
Vitamina A (RE),mcg,"2,67","6,40","4,40",BRC0034N,Nome não encontrado
Vitamina A (RAE),mcg,"2,33","5,60","3,85",BRC0034N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0034N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,14","0,10",BRC0034N,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Riboflavina,mg,"0,20","0,48","0,33",BRC0034N,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0034N,Nome não encontrado
Vitamina B12,mcg,"0,19","0,46","0,32",BRC0034N,Nome não encontrado
Vitamina C,mg,"0,32","0,77","0,53",BRC0034N,Nome não encontrado
Equivalente de folato,mcg,"4,07","9,76","6,71",BRC0034N,Nome não encontrado
Sal de adição,g,,,,BRC0034N,Nome não encontrado
Açúcar de adição,g,,,,BRC0034N,Nome não encontrado
Gordura de adição,g,,,,BRC0034N,Nome não encontrado
Proteína vegetal,g,,,,BRC0034N,Nome não encontrado
Proteína animal,g,,,,BRC0034N,Nome não encontrado
