componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,288,690,474,575,BRC0099G,Nome não encontrado
Energia,kcal,69,164,113,137,BRC0099G,Nome não encontrado
Umidade,g,"81,9",196,135,163,BRC0099G,Nome não encontrado
Carboidrato total,g,"10,8","25,9","17,8","21,6",BRC0099G,Nome não encontrado
Carboidrato disponível,g,"7,09","17,0","11,7","14,2",BRC0099G,Nome não encontrado
Proteína,g,"4,46","10,7","7,36","8,93",BRC0099G,Nome não encontrado
Lipídios,g,"1,67","4,01","2,76","3,34",BRC0099G,Nome não encontrado
Fibra alimentar,g,"3,70","8,88","6,11","7,40",BRC0099G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0099G,Nome não encontrado
Cinzas,g,"1,23","2,94","2,02","2,45",BRC0099G,Nome não encontrado
Colesterol,mg,"3,15","7,57","5,20","6,31",BRC0099G,Nome não encontrado
Ácidos graxos saturados,g,"0,81","1,94","1,33","1,61",BRC0099G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,46","1,10","0,75","0,91",BRC0099G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,11","0,07","0,09",BRC0099G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0099G,Nome não encontrado
Cálcio,mg,125,302,207,251,BRC0099G,Nome não encontrado
Ferro,mg,"1,39","3,33","2,29","2,77",BRC0099G,Nome não encontrado
Sódio,mg,"45,3",108,"74,8","90,6",BRC0099G,Nome não encontrado
Magnésio,mg,"58,5",140,"96,6",117,BRC0099G,Nome não encontrado
Fósforo,mg,145,349,240,291,BRC0099G,Nome não encontrado
Potássio,mg,270,649,446,541,BRC0099G,Nome não encontrado
Manganês,mg,"0,38","0,92","0,63","0,77",BRC0099G,Nome não encontrado
Zinco,mg,"1,00","2,40","1,65","2,00",BRC0099G,Nome não encontrado
Cobre,mg,"0,40","0,95","0,65","0,79",BRC0099G,Nome não encontrado
Selênio,mcg,"1,43","3,43","2,36","2,86",BRC0099G,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0099G,Nome não encontrado
Vitamina A (RAE),mcg,"7,56","18,1","12,5","15,1",BRC0099G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0099G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,08","0,10",BRC0099G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07","0,08",BRC0099G,Nome não encontrado
Riboflavina,mg,"0,25","0,59","0,41","0,49",BRC0099G,Nome não encontrado
Niacina,mg,"1,48","3,55","2,44","2,96",BRC0099G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0099G,Nome não encontrado
Vitamina B12,mcg,"0,46","1,11","0,76","0,92",BRC0099G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0099G,Nome não encontrado
Equivalente de folato,mcg,"7,81","18,8","12,9","15,6",BRC0099G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0099G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0099G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0099G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0099G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0099G,Nome não encontrado
