componente,unidade,Valor por 100g,Colher sopa cheia (5 g),Copo americano duplo (47 g),Copo americano pequeno (38 g),Pedaço/ Unidade/ Fatia (M) (30 g),Prato fundo (100 g),Prato raso (80 g),codigo_alimento,nome_alimento
Energia,kJ,1606,80,754,610,481,1606,1284,BRC0103A,Nome não encontrado
Energia,kcal,378,18,177,143,113,378,302,BRC0103A,Nome não encontrado
Umidade,g,"3,59","0,18","1,69","1,36","1,08","3,59","2,87",BRC0103A,Nome não encontrado
Carboidrato total,g,"90,0","4,50","42,3","34,2","27,0","90,0","72,0",BRC0103A,Nome não encontrado
Carboidrato disponível,g,"89,0","4,45","41,8","33,8","26,7","89,0","71,2",BRC0103A,Nome não encontrado
Proteína,g,"4,20","0,21","1,97","1,60","1,26","4,20","3,36",BRC0103A,Nome não encontrado
Lipídios,g,"0,38","0,02","0,18","0,14","0,11","0,38","0,30",BRC0103A,Nome não encontrado
Fibra alimentar,g,"0,93","0,05","0,44","0,35","0,28","0,93","0,74",BRC0103A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0103A,Nome não encontrado
Cinzas,g,"1,88","0,09","0,88","0,71","0,56","1,88","1,50",BRC0103A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0103A,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,01","0,06","0,05","0,04","0,13","0,10",BRC0103A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,16","0,01","0,08","0,06","0,05","0,16","0,13",BRC0103A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,19","0,01","0,09","0,07","0,06","0,19","0,15",BRC0103A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,traços,BRC0103A,Nome não encontrado
Cálcio,mg,"56,8","2,84","26,7","21,6","17,0","56,8","45,5",BRC0103A,Nome não encontrado
Ferro,mg,"3,93","0,20","1,85","1,49","1,18","3,93","3,14",BRC0103A,Nome não encontrado
Sódio,mg,408,"20,4",191,155,122,408,326,BRC0103A,Nome não encontrado
Magnésio,mg,"8,00","0,40","3,76","3,04","2,40","8,00","6,40",BRC0103A,Nome não encontrado
Fósforo,mg,"43,5","2,17","20,4","16,5","13,0","43,5","34,8",BRC0103A,Nome não encontrado
Potássio,mg,"52,0","2,60","24,4","19,7","15,6","52,0","41,6",BRC0103A,Nome não encontrado
Manganês,mg,"0,14","0,01","0,06","0,05","0,04","0,14","0,11",BRC0103A,Nome não encontrado
Zinco,mg,"8,54","0,43","4,01","3,25","2,56","8,54","6,83",BRC0103A,Nome não encontrado
Cobre,mg,"0,04","0,00","0,02","0,02","0,01","0,04","0,03",BRC0103A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0103A,Nome não encontrado
Vitamina A (RE),mcg,"17,6","0,88","8,28","6,70","5,29","17,6","14,1",BRC0103A,Nome não encontrado
Vitamina A (RAE),mcg,"8,81","0,44","4,14","3,35","2,64","8,81","7,05",BRC0103A,Nome não encontrado
Vitamina D,mcg,,,,,,,,BRC0103A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,00","0,01","0,01","0,01","0,03","0,02",BRC0103A,Nome não encontrado
Tiamina,mg,"0,73","0,04","0,34","0,28","0,22","0,73","0,59",BRC0103A,Nome não encontrado
Riboflavina,mg,"1,12","0,06","0,53","0,42","0,34","1,12","0,89",BRC0103A,Nome não encontrado
Niacina,mg,"10,2","0,51","4,80","3,88","3,06","10,2","8,16",BRC0103A,Nome não encontrado
Vitamina B6,mg,"0,79","0,04","0,37","0,30","0,24","0,79","0,63",BRC0103A,Nome não encontrado
Vitamina B12,mcg,,,,,,,,BRC0103A,Nome não encontrado
Vitamina C,mg,"14,7","0,73","6,89","5,57","4,40","14,7","11,7",BRC0103A,Nome não encontrado
Equivalente de folato,mcg,,,,,,,,BRC0103A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0103A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0103A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0103A,Nome não encontrado
Proteína vegetal,g,"4,20","0,21","1,97","1,60","1,26","4,20","3,36",BRC0103A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0103A,Nome não encontrado
