componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,339,186,BRC0549N,Nome não encontrado
Energia,kcal,81,44,BRC0549N,Nome não encontrado
Umidade,g,"81,0","44,5",BRC0549N,Nome não encontrado
Carboidrato total,g,"5,55","3,05",BRC0549N,Nome não encontrado
Carboidrato disponível,g,"3,41","1,87",BRC0549N,Nome não encontrado
Proteína,g,"10,7","5,87",BRC0549N,Nome não encontrado
Lipídios,g,"2,23","1,23",BRC0549N,Nome não encontrado
Fibra alimentar,g,"2,14","1,18",BRC0549N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0549N,Nome não encontrado
Cinzas,g,"0,59","0,32",BRC0549N,Nome não encontrado
Colesterol,mg,"17,3","9,52",BRC0549N,Nome não encontrado
Ácidos graxos saturados,g,"0,92","0,51",BRC0549N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","0,50",BRC0549N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,06",BRC0549N,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03",BRC0549N,Nome não encontrado
Cálcio,mg,"10,7","5,88",BRC0549N,Nome não encontrado
Ferro,mg,"1,07","0,59",BRC0549N,Nome não encontrado
Sódio,mg,"20,5","11,3",BRC0549N,Nome não encontrado
Magnésio,mg,"14,0","7,70",BRC0549N,Nome não encontrado
Fósforo,mg,"78,6","43,2",BRC0549N,Nome não encontrado
Potássio,mg,198,108,BRC0549N,Nome não encontrado
Manganês,mg,"0,11","0,06",BRC0549N,Nome não encontrado
Zinco,mg,"2,37","1,30",BRC0549N,Nome não encontrado
Cobre,mg,"0,14","0,08",BRC0549N,Nome não encontrado
Selênio,mcg,"0,65","0,36",BRC0549N,Nome não encontrado
Vitamina A (RE),mcg,144,"79,7",BRC0549N,Nome não encontrado
Vitamina A (RAE),mcg,"72,9","40,1",BRC0549N,Nome não encontrado
Vitamina D,mcg,"0,09","0,05",BRC0549N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,29","0,71",BRC0549N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0549N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0549N,Nome não encontrado
Niacina,mg,"0,80","0,44",BRC0549N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0549N,Nome não encontrado
Vitamina B12,mcg,"0,42","0,23",BRC0549N,Nome não encontrado
Vitamina C,mg,"1,33","0,73",BRC0549N,Nome não encontrado
Equivalente de folato,mcg,"17,7","9,74",BRC0549N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0549N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0549N,Nome não encontrado
Gordura de adição,g,-,-,BRC0549N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0549N,Nome não encontrado
Proteína animal,g,-,-,BRC0549N,Nome não encontrado
