componente,unidade,Valor por 100g,Colher sopa cheia (9 g),Colher sopa rasa (6 g),codigo_alimento,nome_alimento
Energia,kJ,1321,118,79,BRC0132A,Nome não encontrado
Energia,kcal,313,28,18,BRC0132A,Nome não encontrado
Umidade,g,"15,4","1,39","0,92",BRC0132A,Nome não encontrado
Carboidrato total,g,"70,0","6,30","4,20",BRC0132A,Nome não encontrado
Carboidrato disponível,g,"57,3","5,15","3,44",BRC0132A,Nome não encontrado
Proteína,g,"11,6","1,04","0,69",BRC0132A,Nome não encontrado
Lipídios,g,"1,31","0,12","0,08",BRC0132A,Nome não encontrado
Fibra alimentar,g,"12,8","1,15","0,77",BRC0132A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Cinzas,g,"1,69","0,15","0,10",BRC0132A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,02","0,01",BRC0132A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,01","0,01",BRC0132A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61","0,06","0,04",BRC0132A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0132A,Nome não encontrado
Cálcio,mg,"22,2","2,00","1,33",BRC0132A,Nome não encontrado
Ferro,mg,"3,58","0,32","0,21",BRC0132A,Nome não encontrado
Sódio,mg,"2,90","0,26","0,17",BRC0132A,Nome não encontrado
Magnésio,mg,"96,5","8,69","5,79",BRC0132A,Nome não encontrado
Fósforo,mg,312,"28,1","18,7",BRC0132A,Nome não encontrado
Potássio,mg,380,"34,3","22,8",BRC0132A,Nome não encontrado
Manganês,mg,"3,03","0,27","0,18",BRC0132A,Nome não encontrado
Zinco,mg,"2,86","0,26","0,17",BRC0132A,Nome não encontrado
Cobre,mg,"0,39","0,04","0,02",BRC0132A,Nome não encontrado
Selênio,mcg,"13,6","1,22","0,82",BRC0132A,Nome não encontrado
Vitamina A (RE),mcg,"0,44","0,04","0,03",BRC0132A,Nome não encontrado
Vitamina A (RAE),mcg,"0,22","0,02","0,01",BRC0132A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,03","0,02",BRC0132A,Nome não encontrado
Tiamina,mg,"0,29","0,03","0,02",BRC0132A,Nome não encontrado
Riboflavina,mg,"0,18","0,02","0,01",BRC0132A,Nome não encontrado
Niacina,mg,"4,70","0,42","0,28",BRC0132A,Nome não encontrado
Vitamina B6,mg,"0,39","0,03","0,02",BRC0132A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Equivalente de folato,mcg,"41,7","3,75","2,50",BRC0132A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
Proteína vegetal,g,"11,6","1,04","0,69",BRC0132A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0132A,Nome não encontrado
