componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,148,295,BRC0079H,Nome não encontrado
Energia,kcal,35,70,BRC0079H,Nome não encontrado
Umidade,g,"92,8",185,BRC0079H,Nome não encontrado
Carboidrato total,g,"3,46","6,92",BRC0079H,Nome não encontrado
Carboidrato disponível,g,"3,46","6,92",BRC0079H,Nome não encontrado
Proteína,g,"1,67","3,33",BRC0079H,Nome não encontrado
Lipídios,g,"1,64","3,28",BRC0079H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0079H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0079H,Nome não encontrado
Cinzas,g,"0,45","0,89",BRC0079H,Nome não encontrado
Colesterol,mg,"6,19","12,4",BRC0079H,Nome não encontrado
Ácidos graxos saturados,g,"1,01","2,02",BRC0079H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,97",BRC0079H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,12",BRC0079H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0079H,Nome não encontrado
Cálcio,mg,"54,6",109,BRC0079H,Nome não encontrado
Ferro,mg,"0,04","0,07",BRC0079H,Nome não encontrado
Sódio,mg,"32,2","64,4",BRC0079H,Nome não encontrado
Magnésio,mg,"7,76","15,5",BRC0079H,Nome não encontrado
Fósforo,mg,"43,8","87,7",BRC0079H,Nome não encontrado
Potássio,mg,113,226,BRC0079H,Nome não encontrado
Manganês,mg,"0,01","0,02",BRC0079H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0079H,Nome não encontrado
Cobre,mg,"0,01","0,02",BRC0079H,Nome não encontrado
Selênio,mcg,,,BRC0079H,Nome não encontrado
Vitamina A (RE),mcg,"24,8","49,6",BRC0079H,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","48,8",BRC0079H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0079H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,10",BRC0079H,Nome não encontrado
Tiamina,mg,"0,02","0,05",BRC0079H,Nome não encontrado
Riboflavina,mg,"0,14","0,29",BRC0079H,Nome não encontrado
Niacina,mg,"0,82","1,63",BRC0079H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0079H,Nome não encontrado
Vitamina B12,mcg,"0,19","0,37",BRC0079H,Nome não encontrado
Vitamina C,mg,traços,,BRC0079H,Nome não encontrado
Equivalente de folato,mcg,"3,19","6,38",BRC0079H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0079H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0079H,Nome não encontrado
Gordura de adição,g,-,-,BRC0079H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0079H,Nome não encontrado
Proteína animal,g,-,-,BRC0079H,Nome não encontrado
