componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (35 g),Colher sopa cheia (35 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,282,155,98,98,70,BRC0103B,Nome não encontrado
Energia,kcal,67,36,23,23,16,BRC0103B,Nome não encontrado
Umidade,g,"83,1","45,7","29,1","29,1","20,8",BRC0103B,Nome não encontrado
Carboidrato total,g,"14,1","7,75","4,93","4,93","3,52",BRC0103B,Nome não encontrado
Carboidrato disponível,g,"12,7","6,99","4,45","4,45","3,18",BRC0103B,Nome não encontrado
Proteína,g,"1,29","0,71","0,45","0,45","0,32",BRC0103B,Nome não encontrado
Lipídios,g,"0,90","0,49","0,31","0,31","0,22",BRC0103B,Nome não encontrado
Fibra alimentar,g,"1,38","0,76","0,48","0,48","0,34",BRC0103B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0103B,Nome não encontrado
Cinzas,g,"0,63","0,35","0,22","0,22","0,16",BRC0103B,Nome não encontrado
Colesterol,mg,,,,,,BRC0103B,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,17","0,11","0,11","0,08",BRC0103B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,11","0,07","0,07","0,05",BRC0103B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,22","0,14","0,14","0,10",BRC0103B,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0103B,Nome não encontrado
Cálcio,mg,"4,18","2,30","1,46","1,46","1,05",BRC0103B,Nome não encontrado
Ferro,mg,"0,25","0,14","0,09","0,09","0,06",BRC0103B,Nome não encontrado
Sódio,mg,"8,18","4,50","2,86","2,86","2,05",BRC0103B,Nome não encontrado
Magnésio,mg,"6,46","3,55","2,26","2,26","1,61",BRC0103B,Nome não encontrado
Fósforo,mg,"32,0","17,6","11,2","11,2","7,99",BRC0103B,Nome não encontrado
Potássio,mg,199,109,"69,8","69,8","49,9",BRC0103B,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03","0,03","0,02",BRC0103B,Nome não encontrado
Zinco,mg,"0,21","0,11","0,07","0,07","0,05",BRC0103B,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02","0,02","0,01",BRC0103B,Nome não encontrado
Selênio,mcg,"0,34","0,19","0,12","0,12","0,09",BRC0103B,Nome não encontrado
Vitamina A (RE),mcg,"13,0","7,13","4,54","4,54","3,24",BRC0103B,Nome não encontrado
Vitamina A (RAE),mcg,"7,93","4,36","2,78","2,78","1,98",BRC0103B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0103B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,09","0,06","0,06","0,04",BRC0103B,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,02","0,02","0,02",BRC0103B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0103B,Nome não encontrado
Niacina,mg,"1,38","0,76","0,48","0,48","0,35",BRC0103B,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,03","0,03","0,02",BRC0103B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0103B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0103B,Nome não encontrado
Equivalente de folato,mcg,"19,3","10,6","6,74","6,74","4,82",BRC0103B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0103B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0103B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0103B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0103B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0103B,Nome não encontrado
