componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,644,128,837,BRC1006B,Nome não encontrado
Energia,kcal,155,31,201,BRC1006B,Nome não encontrado
Umidade,g,"74,1","14,8","96,3",BRC1006B,Nome não encontrado
Carboidrato total,g,"7,22","1,44","9,39",BRC1006B,Nome não encontrado
Carboidrato disponível,g,"6,27","1,25","8,15",BRC1006B,Nome não encontrado
Proteína,g,"5,77","1,15","7,50",BRC1006B,Nome não encontrado
Lipídios,g,"11,7","2,33","15,2",BRC1006B,Nome não encontrado
Fibra alimentar,g,"0,95","0,19","1,24",BRC1006B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1006B,Nome não encontrado
Cinzas,g,"1,25","0,25","1,62",BRC1006B,Nome não encontrado
Colesterol,mg,"34,2","6,84","44,5",BRC1006B,Nome não encontrado
Ácidos graxos saturados,g,"6,52","1,30","8,48",BRC1006B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,85","0,57","3,71",BRC1006B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,05","0,34",BRC1006B,Nome não encontrado
Ácidos graxos trans,g,"0,32","0,06","0,41",BRC1006B,Nome não encontrado
Cálcio,mg,184,"36,9",239,BRC1006B,Nome não encontrado
Ferro,mg,"0,42","0,08","0,54",BRC1006B,Nome não encontrado
Sódio,mg,207,"41,4",269,BRC1006B,Nome não encontrado
Magnésio,mg,"20,1","4,02","26,1",BRC1006B,Nome não encontrado
Fósforo,mg,143,"28,6",185,BRC1006B,Nome não encontrado
Potássio,mg,151,"30,2",196,BRC1006B,Nome não encontrado
Manganês,mg,"0,22","0,04","0,29",BRC1006B,Nome não encontrado
Zinco,mg,"0,74","0,15","0,97",BRC1006B,Nome não encontrado
Cobre,mg,"0,06","0,01","0,07",BRC1006B,Nome não encontrado
Selênio,mcg,"5,13","1,03","6,67",BRC1006B,Nome não encontrado
Vitamina A (RE),mcg,151,"30,3",196,BRC1006B,Nome não encontrado
Vitamina A (RAE),mcg,116,"23,3",151,BRC1006B,Nome não encontrado
Vitamina D,mcg,"0,77","0,15","1,00",BRC1006B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,16","1,06",BRC1006B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,06",BRC1006B,Nome não encontrado
Riboflavina,mg,"0,20","0,04","0,26",BRC1006B,Nome não encontrado
Niacina,mg,"0,66","0,13","0,86",BRC1006B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC1006B,Nome não encontrado
Vitamina B12,mcg,"0,30","0,06","0,39",BRC1006B,Nome não encontrado
Vitamina C,mg,"0,53","0,11","0,69",BRC1006B,Nome não encontrado
Equivalente de folato,mcg,"31,3","6,25","40,6",BRC1006B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1006B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1006B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1006B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1006B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1006B,Nome não encontrado
