componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,239,143,95,71,191,119,BRC0290B,Nome não encontrado
Energia,kcal,57,34,22,17,45,28,BRC0290B,Nome não encontrado
Umidade,g,"85,6","51,4","34,2","25,7","68,5","42,8",BRC0290B,Nome não encontrado
Carboidrato total,g,"11,2","6,70","4,47","3,35","8,94","5,59",BRC0290B,Nome não encontrado
Carboidrato disponível,g,"9,48","5,69","3,79","2,84","7,58","4,74",BRC0290B,Nome não encontrado
Proteína,g,"1,42","0,85","0,57","0,43","1,14","0,71",BRC0290B,Nome não encontrado
Lipídios,g,"1,09","0,65","0,44","0,33","0,87","0,55",BRC0290B,Nome não encontrado
Fibra alimentar,g,"1,69","1,01","0,68","0,51","1,35","0,85",BRC0290B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Cinzas,g,"0,70","0,42","0,28","0,21","0,56","0,35",BRC0290B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,02","0,01","0,01","0,02","0,01",BRC0290B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,01","0,01","0,01","0,01",BRC0290B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,03","0,02","0,02","0,04","0,03",BRC0290B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,BRC0290B,Nome não encontrado
Cálcio,mg,"5,24","3,14","2,10","1,57","4,19","2,62",BRC0290B,Nome não encontrado
Ferro,mg,"0,26","0,15","0,10","0,08","0,20","0,13",BRC0290B,Nome não encontrado
Sódio,mg,"82,8","49,7","33,1","24,8","66,2","41,4",BRC0290B,Nome não encontrado
Magnésio,mg,"7,71","4,62","3,08","2,31","6,16","3,85",BRC0290B,Nome não encontrado
Fósforo,mg,"27,7","16,6","11,1","8,31","22,2","13,8",BRC0290B,Nome não encontrado
Potássio,mg,247,148,"99,0","74,2",197,123,BRC0290B,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03","0,02","0,06","0,04",BRC0290B,Nome não encontrado
Zinco,mg,"0,21","0,12","0,08","0,06","0,16","0,10",BRC0290B,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03","0,02","0,06","0,04",BRC0290B,Nome não encontrado
Selênio,mcg,"0,23","0,14","0,09","0,07","0,18","0,11",BRC0290B,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","10,9","8,20","21,9","13,7",BRC0290B,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","5,47","4,10","10,9","6,84",BRC0290B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,14","0,09","0,07","0,18","0,12",BRC0290B,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,03","0,02","0,05","0,03",BRC0290B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0290B,Nome não encontrado
Vitamina B6,mg,"0,08","0,05","0,03","0,02","0,07","0,04",BRC0290B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Vitamina C,mg,"7,19","4,31","2,87","2,16","5,75","3,59",BRC0290B,Nome não encontrado
Equivalente de folato,mcg,"7,82","4,69","3,13","2,35","6,26","3,91",BRC0290B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0290B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0290B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0290B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0290B,Nome não encontrado
