componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,448,246,179,BRC0522A,Nome não encontrado
Energia,kcal,107,59,42,BRC0522A,Nome não encontrado
Umidade,g,"74,4","40,9","29,8",BRC0522A,Nome não encontrado
Carboidrato total,g,"12,2","6,70","4,87",BRC0522A,Nome não encontrado
Carboidrato disponível,g,"10,8","5,94","4,32",BRC0522A,Nome não encontrado
Proteína,g,"9,27","5,10","3,71",BRC0522A,Nome não encontrado
Lipídios,g,"2,68","1,48","1,07",BRC0522A,Nome não encontrado
Fibra alimentar,g,"1,37","0,76","0,55",BRC0522A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0522A,Nome não encontrado
Cinzas,g,"1,45","0,80","0,58",BRC0522A,Nome não encontrado
Colesterol,mg,"77,3","42,5","30,9",BRC0522A,Nome não encontrado
Ácidos graxos saturados,g,"0,53","0,29","0,21",BRC0522A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,63","0,34","0,25",BRC0522A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,27","0,70","0,51",BRC0522A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0522A,Nome não encontrado
Cálcio,mg,"21,0","11,6","8,41",BRC0522A,Nome não encontrado
Ferro,mg,"5,57","3,06","2,23",BRC0522A,Nome não encontrado
Sódio,mg,348,191,139,BRC0522A,Nome não encontrado
Magnésio,mg,"24,3","13,4","9,74",BRC0522A,Nome não encontrado
Fósforo,mg,"83,7","46,0","33,5",BRC0522A,Nome não encontrado
Potássio,mg,"83,7","46,0","33,5",BRC0522A,Nome não encontrado
Manganês,mg,"0,26","0,14","0,10",BRC0522A,Nome não encontrado
Zinco,mg,"0,96","0,53","0,38",BRC0522A,Nome não encontrado
Cobre,mg,"0,41","0,23","0,17",BRC0522A,Nome não encontrado
Selênio,mcg,"0,47","0,26","0,19",BRC0522A,Nome não encontrado
Vitamina A (RE),mcg,"5,58","3,07","2,23",BRC0522A,Nome não encontrado
Vitamina A (RAE),mcg,"6,50","3,58","2,60",BRC0522A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0522A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,55","0,30","0,22",BRC0522A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,03",BRC0522A,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0522A,Nome não encontrado
Niacina,mg,"0,44","0,24","0,18",BRC0522A,Nome não encontrado
Vitamina B6,mg,"0,05","0,03","0,02",BRC0522A,Nome não encontrado
Vitamina B12,mcg,"1,62","0,89","0,65",BRC0522A,Nome não encontrado
Vitamina C,mg,"2,50","1,38","1,00",BRC0522A,Nome não encontrado
Equivalente de folato,mcg,"12,0","6,62","4,82",BRC0522A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0522A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0522A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0522A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0522A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0522A,Nome não encontrado
