componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,690,758,BRC0309F,Nome não encontrado
Energia,kcal,165,181,BRC0309F,Nome não encontrado
Umidade,g,"67,6","74,4",BRC0309F,Nome não encontrado
Carboidrato total,g,"4,78","5,25",BRC0309F,Nome não encontrado
Carboidrato disponível,g,"4,21","4,63",BRC0309F,Nome não encontrado
Proteína,g,"18,3","20,1",BRC0309F,Nome não encontrado
Lipídios,g,"8,19","9,01",BRC0309F,Nome não encontrado
Fibra alimentar,g,"0,57","0,62",BRC0309F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0309F,Nome não encontrado
Cinzas,g,"1,16","1,28",BRC0309F,Nome não encontrado
Colesterol,mg,"69,4","76,3",BRC0309F,Nome não encontrado
Ácidos graxos saturados,g,"3,75","4,12",BRC0309F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,66","2,93",BRC0309F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,86","0,94",BRC0309F,Nome não encontrado
Ácidos graxos trans,g,"0,20","0,22",BRC0309F,Nome não encontrado
Cálcio,mg,"6,58","7,24",BRC0309F,Nome não encontrado
Ferro,mg,"1,62","1,78",BRC0309F,Nome não encontrado
Sódio,mg,217,238,BRC0309F,Nome não encontrado
Magnésio,mg,"11,8","13,0",BRC0309F,Nome não encontrado
Fósforo,mg,117,129,BRC0309F,Nome não encontrado
Potássio,mg,248,273,BRC0309F,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0309F,Nome não encontrado
Zinco,mg,"5,26","5,78",BRC0309F,Nome não encontrado
Cobre,mg,"0,07","0,08",BRC0309F,Nome não encontrado
Selênio,mcg,"0,09","0,09",BRC0309F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0309F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0309F,Nome não encontrado
Vitamina D,mcg,"1,80","1,98",BRC0309F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,20",BRC0309F,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0309F,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0309F,Nome não encontrado
Niacina,mg,"1,06","1,16",BRC0309F,Nome não encontrado
Vitamina B6,mg,"0,08","0,09",BRC0309F,Nome não encontrado
Vitamina B12,mcg,"1,74","1,92",BRC0309F,Nome não encontrado
Vitamina C,mg,"1,58","1,73",BRC0309F,Nome não encontrado
Equivalente de folato,mcg,"5,77","6,35",BRC0309F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0309F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0309F,Nome não encontrado
Gordura de adição,g,-,-,BRC0309F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0309F,Nome não encontrado
Proteína animal,g,-,-,BRC0309F,Nome não encontrado
