componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,349,838,576,BRC0079G,Nome não encontrado
Energia,kcal,83,200,137,BRC0079G,Nome não encontrado
Umidade,g,"82,7",198,136,BRC0079G,Nome não encontrado
Carboidrato total,g,"10,6","25,3","17,4",BRC0079G,Nome não encontrado
Carboidrato disponível,g,"9,75","23,4","16,1",BRC0079G,Nome não encontrado
Proteína,g,"2,44","5,84","4,02",BRC0079G,Nome não encontrado
Lipídios,g,"3,67","8,80","6,05",BRC0079G,Nome não encontrado
Fibra alimentar,g,"0,81","1,93","1,33",BRC0079G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0079G,Nome não encontrado
Cinzas,g,"0,63","1,51","1,04",BRC0079G,Nome não encontrado
Colesterol,mg,"9,28","22,3","15,3",BRC0079G,Nome não encontrado
Ácidos graxos saturados,g,"1,85","4,44","3,05",BRC0079G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,34","3,21","2,20",BRC0079G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,72","0,49",BRC0079G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0079G,Nome não encontrado
Cálcio,mg,"82,1",196,135,BRC0079G,Nome não encontrado
Ferro,mg,"0,10","0,23","0,16",BRC0079G,Nome não encontrado
Sódio,mg,"48,4",116,"79,9",BRC0079G,Nome não encontrado
Magnésio,mg,"10,7","25,7","17,7",BRC0079G,Nome não encontrado
Fósforo,mg,"65,2",156,107,BRC0079G,Nome não encontrado
Potássio,mg,135,324,222,BRC0079G,Nome não encontrado
Manganês,mg,"0,03","0,07","0,05",BRC0079G,Nome não encontrado
Zinco,mg,"0,33","0,80","0,55",BRC0079G,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07",BRC0079G,Nome não encontrado
Selênio,mcg,"3,67","8,82","6,06",BRC0079G,Nome não encontrado
Vitamina A (RE),mcg,"37,2","89,3","61,4",BRC0079G,Nome não encontrado
Vitamina A (RAE),mcg,"36,6","87,8","60,4",BRC0079G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0079G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,15","0,10",BRC0079G,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0079G,Nome não encontrado
Riboflavina,mg,"0,19","0,45","0,31",BRC0079G,Nome não encontrado
Niacina,mg,"1,14","2,74","1,88",BRC0079G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0079G,Nome não encontrado
Vitamina B12,mcg,"0,28","0,67","0,46",BRC0079G,Nome não encontrado
Vitamina C,mg,"1,46","3,51","2,41",BRC0079G,Nome não encontrado
Equivalente de folato,mcg,"3,89","9,32","6,41",BRC0079G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0079G,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0079G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0079G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0079G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0079G,Nome não encontrado
