componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,67,20,BRC0169B,Nome não encontrado
Energia,kcal,16,4,BRC0169B,Nome não encontrado
Umidade,g,"94,4","28,3",BRC0169B,Nome não encontrado
Carboidrato total,g,"2,74","0,82",BRC0169B,Nome não encontrado
Carboidrato disponível,g,"0,88","0,26",BRC0169B,Nome não encontrado
Proteína,g,"1,54","0,46",BRC0169B,Nome não encontrado
Lipídios,g,"0,30","0,09",BRC0169B,Nome não encontrado
Fibra alimentar,g,"1,86","0,56",BRC0169B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0169B,Nome não encontrado
Cinzas,g,"0,98","0,29",BRC0169B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0169B,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,02",BRC0169B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0169B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,04",BRC0169B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0169B,Nome não encontrado
Cálcio,mg,"0,00","0,00",BRC0169B,Nome não encontrado
Ferro,mg,"0,74","0,22",BRC0169B,Nome não encontrado
Sódio,mg,"19,7","5,91",BRC0169B,Nome não encontrado
Magnésio,mg,"13,4","4,03",BRC0169B,Nome não encontrado
Fósforo,mg,"25,1","7,52",BRC0169B,Nome não encontrado
Potássio,mg,281,"84,3",BRC0169B,Nome não encontrado
Manganês,mg,"0,38","0,11",BRC0169B,Nome não encontrado
Zinco,mg,"0,71","0,21",BRC0169B,Nome não encontrado
Cobre,mg,"0,09","0,03",BRC0169B,Nome não encontrado
Selênio,mcg,"0,18","0,05",BRC0169B,Nome não encontrado
Vitamina A (RE),mcg,379,113,BRC0169B,Nome não encontrado
Vitamina A (RAE),mcg,189,"56,9",BRC0169B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0169B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,66","0,20",BRC0169B,Nome não encontrado
Tiamina,mg,"0,07","0,02",BRC0169B,Nome não encontrado
Riboflavina,mg,"0,07","0,02",BRC0169B,Nome não encontrado
Niacina,mg,"0,36","0,11",BRC0169B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0169B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0169B,Nome não encontrado
Vitamina C,mg,"5,82","1,75",BRC0169B,Nome não encontrado
Equivalente de folato,mcg,127,"38,1",BRC0169B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0169B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0169B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0169B,Nome não encontrado
Proteína vegetal,g,"1,54","0,46",BRC0169B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0169B,Nome não encontrado
