componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,430,236,172,BRC0548A,Nome não encontrado
Energia,kcal,102,56,40,BRC0548A,Nome não encontrado
Umidade,g,"76,2","41,9","30,5",BRC0548A,Nome não encontrado
Carboidrato total,g,"18,0","9,92","7,21",BRC0548A,Nome não encontrado
Carboidrato disponível,g,"15,6","8,56","6,23",BRC0548A,Nome não encontrado
Proteína,g,"2,56","1,41","1,02",BRC0548A,Nome não encontrado
Lipídios,g,"2,77","1,52","1,11",BRC0548A,Nome não encontrado
Fibra alimentar,g,"2,46","1,35","0,99",BRC0548A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Cinzas,g,"0,44","0,24","0,18",BRC0548A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Ácidos graxos saturados,g,"0,52","0,28","0,21",BRC0548A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","0,39","0,28",BRC0548A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","0,80","0,58",BRC0548A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0548A,Nome não encontrado
Cálcio,mg,"17,0","9,33","6,79",BRC0548A,Nome não encontrado
Ferro,mg,"0,25","0,14","0,10",BRC0548A,Nome não encontrado
Sódio,mg,"1,08","0,59","0,43",BRC0548A,Nome não encontrado
Magnésio,mg,"20,6","11,3","8,24",BRC0548A,Nome não encontrado
Fósforo,mg,"42,9","23,6","17,1",BRC0548A,Nome não encontrado
Potássio,mg,"94,8","52,1","37,9",BRC0548A,Nome não encontrado
Manganês,mg,"0,21","0,12","0,08",BRC0548A,Nome não encontrado
Zinco,mg,"0,27","0,15","0,11",BRC0548A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02",BRC0548A,Nome não encontrado
Selênio,mcg,"0,67","0,37","0,27",BRC0548A,Nome não encontrado
Vitamina A (RE),mcg,"92,6","50,9","37,0",BRC0548A,Nome não encontrado
Vitamina A (RAE),mcg,"46,3","25,5","18,5",BRC0548A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,48","0,35",BRC0548A,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,03",BRC0548A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0548A,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03",BRC0548A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Vitamina C,mg,"12,5","6,89","5,01",BRC0548A,Nome não encontrado
Equivalente de folato,mcg,"24,6","13,5","9,85",BRC0548A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0548A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0548A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0548A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0548A,Nome não encontrado
