componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,1308,326,BRC0789B,Nome não encontrado
Energia,kcal,311,77,BRC0789B,Nome não encontrado
Umidade,g,"32,8","8,20",BRC0789B,Nome não encontrado
Carboidrato total,g,"50,8","12,7",BRC0789B,Nome não encontrado
Carboidrato disponível,g,"46,8","11,7",BRC0789B,Nome não encontrado
Proteína,g,"4,50","1,12",BRC0789B,Nome não encontrado
Lipídios,g,"10,9","2,72",BRC0789B,Nome não encontrado
Fibra alimentar,g,"3,95","0,99",BRC0789B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0789B,Nome não encontrado
Cinzas,g,"1,05","0,26",BRC0789B,Nome não encontrado
Colesterol,mg,115,"28,8",BRC0789B,Nome não encontrado
Ácidos graxos saturados,g,"2,26","0,57",BRC0789B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,28","0,82",BRC0789B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,53","1,13",BRC0789B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01",BRC0789B,Nome não encontrado
Cálcio,mg,"59,8","14,9",BRC0789B,Nome não encontrado
Ferro,mg,"1,51","0,38",BRC0789B,Nome não encontrado
Sódio,mg,119,"30,0",BRC0789B,Nome não encontrado
Magnésio,mg,"26,7","6,67",BRC0789B,Nome não encontrado
Fósforo,mg,"76,3","19,1",BRC0789B,Nome não encontrado
Potássio,mg,252,"63,2",BRC0789B,Nome não encontrado
Manganês,mg,"0,24","0,06",BRC0789B,Nome não encontrado
Zinco,mg,"0,67","0,17",BRC0789B,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0789B,Nome não encontrado
Selênio,mcg,"5,68","1,42",BRC0789B,Nome não encontrado
Vitamina A (RE),mcg,"59,3","14,8",BRC0789B,Nome não encontrado
Vitamina A (RAE),mcg,"56,3","14,1",BRC0789B,Nome não encontrado
Vitamina D,mcg,"0,61","0,15",BRC0789B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,95","0,24",BRC0789B,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0789B,Nome não encontrado
Riboflavina,mg,"0,18","0,04",BRC0789B,Nome não encontrado
Niacina,mg,"0,23","0,06",BRC0789B,Nome não encontrado
Vitamina B6,mg,"0,46","0,12",BRC0789B,Nome não encontrado
Vitamina B12,mcg,"0,26","0,07",BRC0789B,Nome não encontrado
Vitamina C,mg,"0,79","0,20",BRC0789B,Nome não encontrado
Equivalente de folato,mcg,"35,7","8,93",BRC0789B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0789B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0789B,Nome não encontrado
Gordura de adição,g,-,-,BRC0789B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0789B,Nome não encontrado
Proteína animal,g,-,-,BRC0789B,Nome não encontrado
