componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,511,281,204,BRC0541A,Nome não encontrado
Energia,kcal,121,66,48,BRC0541A,Nome não encontrado
Umidade,g,"71,6","39,4","28,6",BRC0541A,Nome não encontrado
Carboidrato total,g,"17,5","9,63","7,00",BRC0541A,Nome não encontrado
Carboidrato disponível,g,"16,1","8,86","6,44",BRC0541A,Nome não encontrado
Proteína,g,"7,10","3,91","2,84",BRC0541A,Nome não encontrado
Lipídios,g,"2,85","1,57","1,14",BRC0541A,Nome não encontrado
Fibra alimentar,g,"1,41","0,78","0,56",BRC0541A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0541A,Nome não encontrado
Cinzas,g,"1,00","0,55","0,40",BRC0541A,Nome não encontrado
Colesterol,mg,"26,4","14,5","10,6",BRC0541A,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,39","0,28",BRC0541A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,78","0,43","0,31",BRC0541A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,11","0,61","0,44",BRC0541A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0541A,Nome não encontrado
Cálcio,mg,"9,62","5,29","3,85",BRC0541A,Nome não encontrado
Ferro,mg,"0,48","0,26","0,19",BRC0541A,Nome não encontrado
Sódio,mg,203,111,"81,2",BRC0541A,Nome não encontrado
Magnésio,mg,"19,1","10,5","7,64",BRC0541A,Nome não encontrado
Fósforo,mg,"59,7","32,8","23,9",BRC0541A,Nome não encontrado
Potássio,mg,136,"74,8","54,4",BRC0541A,Nome não encontrado
Manganês,mg,"0,56","0,31","0,22",BRC0541A,Nome não encontrado
Zinco,mg,"0,91","0,50","0,36",BRC0541A,Nome não encontrado
Cobre,mg,"0,11","0,06","0,04",BRC0541A,Nome não encontrado
Selênio,mcg,"0,97","0,53","0,39",BRC0541A,Nome não encontrado
Vitamina A (RE),mcg,"58,8","32,3","23,5",BRC0541A,Nome não encontrado
Vitamina A (RAE),mcg,"30,6","16,8","12,2",BRC0541A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0541A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,17","0,12",BRC0541A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0541A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0541A,Nome não encontrado
Niacina,mg,"1,74","0,96","0,70",BRC0541A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0541A,Nome não encontrado
Vitamina B12,mcg,"0,03","0,02","0,01",BRC0541A,Nome não encontrado
Vitamina C,mg,"4,33","2,38","1,73",BRC0541A,Nome não encontrado
Equivalente de folato,mcg,"6,92","3,81","2,77",BRC0541A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0541A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0541A,Nome não encontrado
Gordura de adição,g,"1,40","0,77","0,56",BRC0541A,Nome não encontrado
Proteína vegetal,g,"1,74","0,96","0,70",BRC0541A,Nome não encontrado
Proteína animal,g,"5,36","2,95","2,14",BRC0541A,Nome não encontrado
