componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,586,351,263,585,BRC0396E,Nome não encontrado
Energia,kcal,140,83,62,139,BRC0396E,Nome não encontrado
Umidade,g,"70,8","42,5","31,9","70,8",BRC0396E,Nome não encontrado
Carboidrato total,g,"3,47","2,08","1,56","3,47",BRC0396E,Nome não encontrado
Carboidrato disponível,g,"2,97","1,78","1,33","2,97",BRC0396E,Nome não encontrado
Proteína,g,"18,7","11,2","8,42","18,7",BRC0396E,Nome não encontrado
Lipídios,g,"5,76","3,46","2,59","5,76",BRC0396E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0396E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0396E,Nome não encontrado
Cinzas,g,"1,25","0,75","0,56","1,25",BRC0396E,Nome não encontrado
Colesterol,mg,"32,6","19,5","14,7","32,6",BRC0396E,Nome não encontrado
Ácidos graxos saturados,g,"0,86","0,52","0,39","0,86",BRC0396E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,26","0,76","0,57","1,26",BRC0396E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,20","1,92","1,44","3,20",BRC0396E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0396E,Nome não encontrado
Cálcio,mg,"11,6","6,93","5,20","11,6",BRC0396E,Nome não encontrado
Ferro,mg,"0,34","0,20","0,15","0,34",BRC0396E,Nome não encontrado
Sódio,mg,210,126,"94,6",210,BRC0396E,Nome não encontrado
Magnésio,mg,"25,7","15,4","11,6","25,7",BRC0396E,Nome não encontrado
Fósforo,mg,223,133,100,223,BRC0396E,Nome não encontrado
Potássio,mg,413,248,186,413,BRC0396E,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,07",BRC0396E,Nome não encontrado
Zinco,mg,"0,42","0,25","0,19","0,42",BRC0396E,Nome não encontrado
Cobre,mg,"0,19","0,11","0,08","0,19",BRC0396E,Nome não encontrado
Selênio,mcg,"33,2","19,9","14,9","33,2",BRC0396E,Nome não encontrado
Vitamina A (RE),mcg,"25,1","15,1","11,3","25,1",BRC0396E,Nome não encontrado
Vitamina A (RAE),mcg,"15,0","8,99","6,75","15,0",BRC0396E,Nome não encontrado
Vitamina D,mcg,"0,09","0,05","0,04","0,09",BRC0396E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,05","0,63","0,47","1,05",BRC0396E,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,03","0,06",BRC0396E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0396E,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0396E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0396E,Nome não encontrado
Vitamina B12,mcg,"1,13","0,68","0,51","1,13",BRC0396E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0396E,Nome não encontrado
Equivalente de folato,mcg,"5,88","3,53","2,65","5,88",BRC0396E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0396E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0396E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0396E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0396E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0396E,Nome não encontrado
