componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,478,286,215,BRC0254E,Nome não encontrado
Energia,kcal,114,68,51,BRC0254E,Nome não encontrado
Umidade,g,"77,6","46,6","34,9",BRC0254E,Nome não encontrado
Carboidrato total,g,"2,89","1,74","1,30",BRC0254E,Nome não encontrado
Carboidrato disponível,g,"1,52","0,91","0,68",BRC0254E,Nome não encontrado
Proteína,g,"13,1","7,86","5,89",BRC0254E,Nome não encontrado
Lipídios,g,"4,93","2,96","2,22",BRC0254E,Nome não encontrado
Fibra alimentar,g,"1,37","0,82","0,62",BRC0254E,Nome não encontrado
Álcool,g,"0,01","0,01","0,00",BRC0254E,Nome não encontrado
Cinzas,g,"1,22","0,73","0,55",BRC0254E,Nome não encontrado
Colesterol,mg,168,101,"75,9",BRC0254E,Nome não encontrado
Ácidos graxos saturados,g,"1,73","1,04","0,78",BRC0254E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,57","0,94","0,71",BRC0254E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,24","0,74","0,56",BRC0254E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0254E,Nome não encontrado
Cálcio,mg,"66,5","39,9","29,9",BRC0254E,Nome não encontrado
Ferro,mg,"2,22","1,33","1,00",BRC0254E,Nome não encontrado
Sódio,mg,281,169,126,BRC0254E,Nome não encontrado
Magnésio,mg,"16,0","9,62","7,21",BRC0254E,Nome não encontrado
Fósforo,mg,195,117,"88,1",BRC0254E,Nome não encontrado
Potássio,mg,117,"70,7","53,0",BRC0254E,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03",BRC0254E,Nome não encontrado
Zinco,mg,"0,86","0,51","0,39",BRC0254E,Nome não encontrado
Cobre,mg,"0,29","0,18","0,13",BRC0254E,Nome não encontrado
Selênio,mcg,"0,19","0,12","0,09",BRC0254E,Nome não encontrado
Vitamina A (RE),mcg,348,208,156,BRC0254E,Nome não encontrado
Vitamina A (RAE),mcg,197,118,"88,9",BRC0254E,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,02",BRC0254E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,44","0,86","0,65",BRC0254E,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0254E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0254E,Nome não encontrado
Niacina,mg,"0,25","0,15","0,11",BRC0254E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0254E,Nome não encontrado
Vitamina B12,mcg,"1,13","0,68","0,51",BRC0254E,Nome não encontrado
Vitamina C,mg,"9,11","5,47","4,10",BRC0254E,Nome não encontrado
Equivalente de folato,mcg,"20,3","12,2","9,14",BRC0254E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0254E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0254E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0254E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0254E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0254E,Nome não encontrado
