componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,86,34,21,12,BRC0341B,Nome não encontrado
Energia,kcal,21,8,5,3,BRC0341B,Nome não encontrado
Umidade,g,"92,5","37,0","23,1","13,9",BRC0341B,Nome não encontrado
Carboidrato total,g,"5,22","2,09","1,30","0,78",BRC0341B,Nome não encontrado
Carboidrato disponível,g,"2,14","0,85","0,53","0,32",BRC0341B,Nome não encontrado
Proteína,g,"0,82","0,33","0,20","0,12",BRC0341B,Nome não encontrado
Lipídios,g,"0,31","0,12","0,08","0,05",BRC0341B,Nome não encontrado
Fibra alimentar,g,"3,08","1,23","0,77","0,46",BRC0341B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0341B,Nome não encontrado
Cinzas,g,"1,21","0,48","0,30","0,18",BRC0341B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0341B,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,01","0,00","0,00",BRC0341B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,00",BRC0341B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,04","0,03","0,02",BRC0341B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,BRC0341B,Nome não encontrado
Cálcio,mg,"15,3","6,10","3,81","2,29",BRC0341B,Nome não encontrado
Ferro,mg,"0,42","0,17","0,11","0,06",BRC0341B,Nome não encontrado
Sódio,mg,289,115,"72,3","43,4",BRC0341B,Nome não encontrado
Magnésio,mg,"9,68","3,87","2,42","1,45",BRC0341B,Nome não encontrado
Fósforo,mg,"20,2","8,07","5,05","3,03",BRC0341B,Nome não encontrado
Potássio,mg,275,110,"68,8","41,3",BRC0341B,Nome não encontrado
Manganês,mg,"0,16","0,06","0,04","0,02",BRC0341B,Nome não encontrado
Zinco,mg,"0,15","0,06","0,04","0,02",BRC0341B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,00",BRC0341B,Nome não encontrado
Selênio,mcg,"0,43","0,17","0,11","0,06",BRC0341B,Nome não encontrado
Vitamina A (RE),mcg,551,220,137,"82,8",BRC0341B,Nome não encontrado
Vitamina A (RAE),mcg,275,110,"69,0","41,4",BRC0341B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0341B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,62","0,65","0,41","0,24",BRC0341B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,01",BRC0341B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0341B,Nome não encontrado
Niacina,mg,"1,39","0,56","0,35","0,21",BRC0341B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01",BRC0341B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0341B,Nome não encontrado
Vitamina C,mg,"0,63","0,25","0,16","0,09",BRC0341B,Nome não encontrado
Equivalente de folato,mcg,"9,00","3,60","2,25","1,35",BRC0341B,Nome não encontrado
Sal de adição,g,"0,47","0,19","0,12","0,07",BRC0341B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0341B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0341B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0341B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0341B,Nome não encontrado
