componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,1489,595,BRC0228A,Nome não encontrado
Energia,kcal,352,140,BRC0228A,Nome não encontrado
Umidade,g,"8,21","3,28",BRC0228A,Nome não encontrado
Carboidrato total,g,"75,4","30,2",BRC0228A,Nome não encontrado
Carboidrato disponível,g,"65,4","26,2",BRC0228A,Nome não encontrado
Proteína,g,"14,0","5,60",BRC0228A,Nome não encontrado
Lipídios,g,"1,61","0,64",BRC0228A,Nome não encontrado
Fibra alimentar,g,"10,0","4,01",BRC0228A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0228A,Nome não encontrado
Cinzas,g,"0,76","0,30",BRC0228A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0228A,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,19",BRC0228A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,08",BRC0228A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,25",BRC0228A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0228A,Nome não encontrado
Cálcio,mg,"25,5","10,2",BRC0228A,Nome não encontrado
Ferro,mg,"1,69","0,68",BRC0228A,Nome não encontrado
Sódio,mg,"10,6","4,23",BRC0228A,Nome não encontrado
Magnésio,mg,"40,8","16,3",BRC0228A,Nome não encontrado
Fósforo,mg,147,"58,9",BRC0228A,Nome não encontrado
Potássio,mg,216,"86,8",BRC0228A,Nome não encontrado
Manganês,mg,"0,78","0,31",BRC0228A,Nome não encontrado
Zinco,mg,"1,15","0,46",BRC0228A,Nome não encontrado
Cobre,mg,"0,22","0,09",BRC0228A,Nome não encontrado
Selênio,mcg,"7,52","3,01",BRC0228A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0228A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0228A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0228A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,10",BRC0228A,Nome não encontrado
Tiamina,mg,"0,41","0,16",BRC0228A,Nome não encontrado
Riboflavina,mg,"0,22","0,09",BRC0228A,Nome não encontrado
Niacina,mg,"8,69","3,48",BRC0228A,Nome não encontrado
Vitamina B6,mg,"0,28","0,11",BRC0228A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0228A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0228A,Nome não encontrado
Equivalente de folato,mcg,"69,0","27,6",BRC0228A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0228A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0228A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0228A,Nome não encontrado
Proteína vegetal,g,,,BRC0228A,Nome não encontrado
Proteína animal,g,,,BRC0228A,Nome não encontrado
