componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher chá cheia (4 g),Colher chá rasa (2 g),Colher sobremesa cheia (10 g),Colher sobremesa rasa (7 g),Colher sopa cheia (15 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1491,29,59,29,149,104,223,149,BRC0090K,Nome não encontrado
Energia,kcal,359,7,14,7,35,25,53,35,BRC0090K,Nome não encontrado
Umidade,g,"3,00","0,06","0,12","0,06","0,30","0,21","0,45","0,30",BRC0090K,Nome não encontrado
Carboidrato total,g,"57,9","1,16","2,32","1,16","5,79","4,05","8,69","5,79",BRC0090K,Nome não encontrado
Carboidrato disponível,g,"20,9","0,42","0,84","0,42","2,09","1,46","3,14","2,09",BRC0090K,Nome não encontrado
Proteína,g,"19,6","0,39","0,78","0,39","1,96","1,37","2,94","1,96",BRC0090K,Nome não encontrado
Lipídios,g,"13,7","0,27","0,55","0,27","1,37","0,96","2,06","1,37",BRC0090K,Nome não encontrado
Fibra alimentar,g,"37,0","0,74","1,48","0,74","3,70","2,59","5,55","3,70",BRC0090K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Cinzas,g,"5,80","0,12","0,23","0,12","0,58","0,41","0,87","0,58",BRC0090K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Ácidos graxos saturados,g,"8,07","0,16","0,32","0,16","0,81","0,56","1,21","0,81",BRC0090K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,57","0,09","0,18","0,09","0,46","0,32","0,69","0,46",BRC0090K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,01","0,02","0,01","0,04","0,03","0,07","0,04",BRC0090K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Cálcio,mg,128,"2,56","5,12","2,56","12,8","8,96","19,2","12,8",BRC0090K,Nome não encontrado
Ferro,mg,"13,9","0,28","0,55","0,28","1,39","0,97","2,08","1,39",BRC0090K,Nome não encontrado
Sódio,mg,"21,0","0,42","0,84","0,42","2,10","1,47","3,15","2,10",BRC0090K,Nome não encontrado
Magnésio,mg,499,"9,98","20,0","9,98","49,9","34,9","74,9","49,9",BRC0090K,Nome não encontrado
Fósforo,mg,734,"14,7","29,4","14,7","73,4","51,4",110,"73,4",BRC0090K,Nome não encontrado
Potássio,mg,1524,"30,5","61,0","30,5",152,106,228,152,BRC0090K,Nome não encontrado
Manganês,mg,"3,84","0,08","0,15","0,08","0,38","0,27","0,58","0,38",BRC0090K,Nome não encontrado
Zinco,mg,"6,81","0,14","0,27","0,14","0,68","0,48","1,02","0,68",BRC0090K,Nome não encontrado
Cobre,mg,"3,79","0,08","0,15","0,08","0,38","0,27","0,57","0,38",BRC0090K,Nome não encontrado
Selênio,mcg,"14,3","0,29","0,57","0,29","1,43","1,00","2,15","1,43",BRC0090K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,00","0,00","0,00","0,01","0,01","0,02","0,01",BRC0090K,Nome não encontrado
Tiamina,mg,"0,08","0,00","0,00","0,00","0,01","0,01","0,01","0,01",BRC0090K,Nome não encontrado
Riboflavina,mg,"0,24","0,00","0,01","0,00","0,02","0,02","0,04","0,02",BRC0090K,Nome não encontrado
Niacina,mg,"2,19","0,04","0,09","0,04","0,22","0,15","0,33","0,22",BRC0090K,Nome não encontrado
Vitamina B6,mg,"0,12","0,00","0,00","0,00","0,01","0,01","0,02","0,01",BRC0090K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Equivalente de folato,mcg,"32,0","0,64","1,28","0,64","3,20","2,24","4,80","3,20",BRC0090K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
Proteína vegetal,g,"19,6","0,39","0,78","0,39","1,96","1,37","2,94","1,96",BRC0090K,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090K,Nome não encontrado
