componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,6,13,9,20,BRC0046N,Nome não encontrado
Energia,kcal,1,3,2,4,BRC0046N,Nome não encontrado
Umidade,g,"99,6",239,164,348,BRC0046N,Nome não encontrado
Carboidrato total,g,"0,34","0,82","0,56","1,19",BRC0046N,Nome não encontrado
Carboidrato disponível,g,"0,34","0,82","0,56","1,19",BRC0046N,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Cinzas,g,"0,06","0,14","0,10","0,21",BRC0046N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Cálcio,mg,"1,25","3,00","2,06","4,38",BRC0046N,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Sódio,mg,"6,25","15,0","10,3","21,9",BRC0046N,Nome não encontrado
Magnésio,mg,"1,25","3,00","2,06","4,38",BRC0046N,Nome não encontrado
Fósforo,mg,"1,25","3,00","2,06","4,38",BRC0046N,Nome não encontrado
Potássio,mg,"15,0","36,0","24,8","52,5",BRC0046N,Nome não encontrado
Manganês,mg,,,,,BRC0046N,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Cobre,mg,,,,,BRC0046N,Nome não encontrado
Selênio,mcg,,,,,BRC0046N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Vitamina B6,mg,"6,50","15,6","10,7","22,8",BRC0046N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0046N,Nome não encontrado
