componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1534,306,153,BRC0078R,Nome não encontrado
Energia,kcal,361,72,36,BRC0078R,Nome não encontrado
Umidade,g,"8,14","1,63","0,81",BRC0078R,Nome não encontrado
Carboidrato total,g,"89,3","17,9","8,93",BRC0078R,Nome não encontrado
Carboidrato disponível,g,"88,5","17,7","8,85",BRC0078R,Nome não encontrado
Proteína,g,"0,58","0,12","0,06",BRC0078R,Nome não encontrado
Lipídios,g,"0,37","0,07","0,04",BRC0078R,Nome não encontrado
Fibra alimentar,g,"0,88","0,18","0,09",BRC0078R,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Cinzas,g,"1,57","0,31","0,16",BRC0078R,Nome não encontrado
Colesterol,mg,,,,BRC0078R,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,02","0,01",BRC0078R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02","0,01",BRC0078R,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0078R,Nome não encontrado
Cálcio,mg,522,104,"52,2",BRC0078R,Nome não encontrado
Ferro,mg,"42,0","8,40","4,20",BRC0078R,Nome não encontrado
Sódio,mg,"14,9","2,97","1,49",BRC0078R,Nome não encontrado
Magnésio,mg,"4,28","0,86","0,43",BRC0078R,Nome não encontrado
Fósforo,mg,273,"54,7","27,3",BRC0078R,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Zinco,mg,"15,2","3,04","1,52",BRC0078R,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Selênio,mcg,,,,BRC0078R,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0078R,Nome não encontrado
Vitamina A (RAE),mcg,"0,08","0,02","0,01",BRC0078R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,06","0,03",BRC0078R,Nome não encontrado
Tiamina,mg,"3,41","0,68","0,34",BRC0078R,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0078R,Nome não encontrado
Niacina,mg,"19,4","3,88","1,94",BRC0078R,Nome não encontrado
Vitamina B6,mg,"3,11","0,62","0,31",BRC0078R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0078R,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0078R,Nome não encontrado
Equivalente de folato,mcg,"3,62","0,72","0,36",BRC0078R,Nome não encontrado
Sal de adição,g,,,,BRC0078R,Nome não encontrado
Açúcar de adição,g,,,,BRC0078R,Nome não encontrado
Gordura de adição,g,,,,BRC0078R,Nome não encontrado
Proteína vegetal,g,,,,BRC0078R,Nome não encontrado
Proteína animal,g,,,,BRC0078R,Nome não encontrado
