componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,835,208,BRC0077N,Nome não encontrado
Energia,kcal,197,49,BRC0077N,Nome não encontrado
Umidade,g,"49,0","12,3",BRC0077N,Nome não encontrado
Carboidrato total,g,"27,3","6,83",BRC0077N,Nome não encontrado
Carboidrato disponível,g,"23,3","5,82",BRC0077N,Nome não encontrado
Proteína,g,"20,9","5,24",BRC0077N,Nome não encontrado
Lipídios,g,"1,37","0,34",BRC0077N,Nome não encontrado
Fibra alimentar,g,"4,03","1,01",BRC0077N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0077N,Nome não encontrado
Cinzas,g,"1,38","0,35",BRC0077N,Nome não encontrado
Colesterol,mg,"7,00","1,75",BRC0077N,Nome não encontrado
Ácidos graxos saturados,g,"0,67","0,17",BRC0077N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,13",BRC0077N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,05",BRC0077N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0077N,Nome não encontrado
Cálcio,mg,"98,9","24,7",BRC0077N,Nome não encontrado
Ferro,mg,"0,03","0,01",BRC0077N,Nome não encontrado
Sódio,mg,"60,8","15,2",BRC0077N,Nome não encontrado
Magnésio,mg,"8,24","2,06",BRC0077N,Nome não encontrado
Fósforo,mg,"71,3","17,8",BRC0077N,Nome não encontrado
Potássio,mg,131,"32,9",BRC0077N,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0077N,Nome não encontrado
Zinco,mg,"0,27","0,07",BRC0077N,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0077N,Nome não encontrado
Selênio,mcg,,,BRC0077N,Nome não encontrado
Vitamina A (RE),mcg,"39,2","9,80",BRC0077N,Nome não encontrado
Vitamina A (RAE),mcg,"39,2","9,80",BRC0077N,Nome não encontrado
Vitamina D,mcg,"0,17","0,04",BRC0077N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,04",BRC0077N,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0077N,Nome não encontrado
Riboflavina,mg,"0,13","0,03",BRC0077N,Nome não encontrado
Niacina,mg,traços,traços,BRC0077N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0077N,Nome não encontrado
Vitamina B12,mcg,"0,16","0,04",BRC0077N,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0077N,Nome não encontrado
Equivalente de folato,mcg,"5,67","1,42",BRC0077N,Nome não encontrado
Sal de adição,g,,,BRC0077N,Nome não encontrado
Açúcar de adição,g,,,BRC0077N,Nome não encontrado
Gordura de adição,g,,,BRC0077N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0077N,Nome não encontrado
Proteína animal,g,"20,9","5,24",BRC0077N,Nome não encontrado
