componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (20 g),Porção Média (60 g),codigo_alimento,nome_alimento
Energia,kJ,279,55,167,BRC0069C,Nome não encontrado
Energia,kcal,66,13,39,BRC0069C,Nome não encontrado
Umidade,g,"83,1","16,6","49,9",BRC0069C,Nome não encontrado
Carboidrato total,g,"14,9","2,99","8,96",BRC0069C,Nome não encontrado
Carboidrato disponível,g,"13,2","2,65","7,94",BRC0069C,Nome não encontrado
Proteína,g,"0,83","0,17","0,50",BRC0069C,Nome não encontrado
Lipídios,g,"0,70","0,14","0,42",BRC0069C,Nome não encontrado
Fibra alimentar,g,"1,70","0,34","1,02",BRC0069C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Cinzas,g,"0,39","0,08","0,24",BRC0069C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,06","0,18",BRC0069C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,02","0,06",BRC0069C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02","0,06",BRC0069C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Cálcio,mg,"5,78","1,16","3,47",BRC0069C,Nome não encontrado
Ferro,mg,"0,16","0,03","0,10",BRC0069C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0069C,Nome não encontrado
Magnésio,mg,"9,30","1,86","5,58",BRC0069C,Nome não encontrado
Fósforo,mg,"20,3","4,06","12,2",BRC0069C,Nome não encontrado
Potássio,mg,128,"25,7","77,0",BRC0069C,Nome não encontrado
Manganês,mg,"0,08","0,02","0,05",BRC0069C,Nome não encontrado
Zinco,mg,"0,10","0,02","0,06",BRC0069C,Nome não encontrado
Cobre,mg,"0,09","0,02","0,06",BRC0069C,Nome não encontrado
Selênio,mcg,,,,BRC0069C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0069C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0069C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0069C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0069C,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,02",BRC0069C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0069C,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,03",BRC0069C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Vitamina C,mg,"10,3","2,06","6,17",BRC0069C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0069C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
Proteína vegetal,g,"0,83","0,17","0,50",BRC0069C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0069C,Nome não encontrado
