componente,unidade,Valor por 100g,Porção Média (110 g),codigo_alimento,nome_alimento
Energia,kJ,753,828,BRC0137T,Nome não encontrado
Energia,kcal,181,198,BRC0137T,Nome não encontrado
Umidade,g,"64,5","70,9",BRC0137T,Nome não encontrado
Carboidrato total,g,"13,2","14,5",BRC0137T,Nome não encontrado
Carboidrato disponível,g,"10,5","11,6",BRC0137T,Nome não encontrado
Proteína,g,"9,90","10,9",BRC0137T,Nome não encontrado
Lipídios,g,"10,4","11,4",BRC0137T,Nome não encontrado
Fibra alimentar,g,"2,64","2,90",BRC0137T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0137T,Nome não encontrado
Cinzas,g,"2,03","2,24",BRC0137T,Nome não encontrado
Colesterol,mg,"32,6","35,9",BRC0137T,Nome não encontrado
Ácidos graxos saturados,g,"4,66","5,12",BRC0137T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,86","3,14",BRC0137T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,18","1,30",BRC0137T,Nome não encontrado
Ácidos graxos trans,g,"0,26","0,29",BRC0137T,Nome não encontrado
Cálcio,mg,105,115,BRC0137T,Nome não encontrado
Ferro,mg,"1,03","1,13",BRC0137T,Nome não encontrado
Sódio,mg,473,520,BRC0137T,Nome não encontrado
Magnésio,mg,"25,9","28,5",BRC0137T,Nome não encontrado
Fósforo,mg,121,133,BRC0137T,Nome não encontrado
Potássio,mg,175,192,BRC0137T,Nome não encontrado
Manganês,mg,"0,30","0,33",BRC0137T,Nome não encontrado
Zinco,mg,"1,49","1,64",BRC0137T,Nome não encontrado
Cobre,mg,"0,10","0,11",BRC0137T,Nome não encontrado
Selênio,mcg,"1,63","1,79",BRC0137T,Nome não encontrado
Vitamina A (RE),mcg,"53,8","59,2",BRC0137T,Nome não encontrado
Vitamina A (RAE),mcg,"56,4","62,0",BRC0137T,Nome não encontrado
Vitamina D,mcg,"0,17","0,19",BRC0137T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,76",BRC0137T,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0137T,Nome não encontrado
Riboflavina,mg,"0,09","0,10",BRC0137T,Nome não encontrado
Niacina,mg,"0,49","0,54",BRC0137T,Nome não encontrado
Vitamina B6,mg,"0,04","0,05",BRC0137T,Nome não encontrado
Vitamina B12,mcg,"0,35","0,38",BRC0137T,Nome não encontrado
Vitamina C,mg,"4,62","5,08",BRC0137T,Nome não encontrado
Equivalente de folato,mcg,"40,6","44,6",BRC0137T,Nome não encontrado
Sal de adição,g,"0,50","0,55",BRC0137T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0137T,Nome não encontrado
Gordura de adição,g,-,-,BRC0137T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0137T,Nome não encontrado
Proteína animal,g,-,-,BRC0137T,Nome não encontrado
