componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,286,128,171,BRC0293E,Nome não encontrado
Energia,kcal,68,30,40,BRC0293E,Nome não encontrado
Umidade,g,"83,7","37,7","50,2",BRC0293E,Nome não encontrado
Carboidrato total,g,"3,75","1,69","2,25",BRC0293E,Nome não encontrado
Carboidrato disponível,g,"2,47","1,11","1,48",BRC0293E,Nome não encontrado
Proteína,g,"9,39","4,23","5,64",BRC0293E,Nome não encontrado
Lipídios,g,"2,01","0,90","1,21",BRC0293E,Nome não encontrado
Fibra alimentar,g,"1,28","0,58","0,77",BRC0293E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0293E,Nome não encontrado
Cinzas,g,"1,14","0,51","0,68",BRC0293E,Nome não encontrado
Colesterol,mg,"60,6","27,3","36,3",BRC0293E,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,18","0,23",BRC0293E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,17","0,23",BRC0293E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","0,42","0,56",BRC0293E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0293E,Nome não encontrado
Cálcio,mg,"38,2","17,2","22,9",BRC0293E,Nome não encontrado
Ferro,mg,"5,89","2,65","3,54",BRC0293E,Nome não encontrado
Sódio,mg,174,"78,4",104,BRC0293E,Nome não encontrado
Magnésio,mg,"20,8","9,34","12,5",BRC0293E,Nome não encontrado
Fósforo,mg,"89,5","40,3","53,7",BRC0293E,Nome não encontrado
Potássio,mg,223,100,133,BRC0293E,Nome não encontrado
Manganês,mg,"0,37","0,17","0,22",BRC0293E,Nome não encontrado
Zinco,mg,"1,08","0,49","0,65",BRC0293E,Nome não encontrado
Cobre,mg,"0,46","0,21","0,28",BRC0293E,Nome não encontrado
Selênio,mcg,"9,78","4,40","5,87",BRC0293E,Nome não encontrado
Vitamina A (RE),mcg,"92,3","41,5","55,4",BRC0293E,Nome não encontrado
Vitamina A (RAE),mcg,"60,8","27,4","36,5",BRC0293E,Nome não encontrado
Vitamina D,mcg,"0,02","0,01","0,01",BRC0293E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,37","0,49",BRC0293E,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,03",BRC0293E,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,04",BRC0293E,Nome não encontrado
Niacina,mg,"1,13","0,51","0,68",BRC0293E,Nome não encontrado
Vitamina B6,mg,"0,10","0,05","0,06",BRC0293E,Nome não encontrado
Vitamina B12,mcg,"4,96","2,23","2,97",BRC0293E,Nome não encontrado
Vitamina C,mg,"16,1","7,26","9,68",BRC0293E,Nome não encontrado
Equivalente de folato,mcg,"24,2","10,9","14,5",BRC0293E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0293E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0293E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0293E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0293E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0293E,Nome não encontrado
