componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,738,443,332,738,BRC0427E,Nome não encontrado
Energia,kcal,177,106,79,176,BRC0427E,Nome não encontrado
Umidade,g,"67,0","40,2","30,2","67,0",BRC0427E,Nome não encontrado
Carboidrato total,g,"2,14","1,29","0,96","2,14",BRC0427E,Nome não encontrado
Carboidrato disponível,g,"1,63","0,98","0,73","1,63",BRC0427E,Nome não encontrado
Proteína,g,"18,9","11,3","8,51","18,9",BRC0427E,Nome não encontrado
Lipídios,g,"10,4","6,25","4,68","10,4",BRC0427E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0427E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0427E,Nome não encontrado
Cinzas,g,"1,52","0,91","0,68","1,52",BRC0427E,Nome não encontrado
Colesterol,mg,"51,1","30,7","23,0","51,1",BRC0427E,Nome não encontrado
Ácidos graxos saturados,g,"2,54","1,53","1,14","2,54",BRC0427E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,04","1,82","1,37","3,04",BRC0427E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,64","2,18","1,64","3,64",BRC0427E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0427E,Nome não encontrado
Cálcio,mg,"10,8","6,45","4,84","10,8",BRC0427E,Nome não encontrado
Ferro,mg,"0,33","0,20","0,15","0,33",BRC0427E,Nome não encontrado
Sódio,mg,142,"85,7","64,2",142,BRC0427E,Nome não encontrado
Magnésio,mg,"29,6","17,8","13,3","29,6",BRC0427E,Nome não encontrado
Fósforo,mg,256,154,115,256,BRC0427E,Nome não encontrado
Potássio,mg,424,254,190,424,BRC0427E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0427E,Nome não encontrado
Zinco,mg,"0,38","0,23","0,17","0,38",BRC0427E,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02","0,05",BRC0427E,Nome não encontrado
Selênio,mcg,"20,5","12,3","9,23","20,5",BRC0427E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","12,3","27,3",BRC0427E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","6,15","13,7",BRC0427E,Nome não encontrado
Vitamina D,mcg,"6,90","4,14","3,11","6,90",BRC0427E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,71","1,63","1,22","2,71",BRC0427E,Nome não encontrado
Tiamina,mg,"0,19","0,11","0,08","0,19",BRC0427E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02","0,04",BRC0427E,Nome não encontrado
Niacina,mg,"2,94","1,76","1,32","2,94",BRC0427E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0427E,Nome não encontrado
Vitamina B12,mcg,"2,48","1,49","1,11","2,48",BRC0427E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0427E,Nome não encontrado
Equivalente de folato,mcg,"22,1","13,3","9,96","22,1",BRC0427E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0427E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0427E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0427E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0427E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0427E,Nome não encontrado
