componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,144,86,BRC0076T,Nome não encontrado
Energia,kcal,35,21,BRC0076T,Nome não encontrado
Umidade,g,"88,5","53,1",BRC0076T,Nome não encontrado
Carboidrato total,g,"7,79","4,67",BRC0076T,Nome não encontrado
Carboidrato disponível,g,"2,95","1,77",BRC0076T,Nome não encontrado
Proteína,g,"2,73","1,64",BRC0076T,Nome não encontrado
Lipídios,g,"0,25","0,15",BRC0076T,Nome não encontrado
Fibra alimentar,g,"4,84","2,91",BRC0076T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0076T,Nome não encontrado
Cinzas,g,"0,77","0,46",BRC0076T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0076T,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,BRC0076T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,03",BRC0076T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,10",BRC0076T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0076T,Nome não encontrado
Cálcio,mg,"11,6","6,99",BRC0076T,Nome não encontrado
Ferro,mg,"0,54","0,32",BRC0076T,Nome não encontrado
Sódio,mg,127,"76,7",BRC0076T,Nome não encontrado
Magnésio,mg,"12,5","7,49",BRC0076T,Nome não encontrado
Fósforo,mg,"68,1","40,9",BRC0076T,Nome não encontrado
Potássio,mg,"77,5","46,5",BRC0076T,Nome não encontrado
Manganês,mg,"0,18","0,11",BRC0076T,Nome não encontrado
Zinco,mg,"0,46","0,28",BRC0076T,Nome não encontrado
Cobre,mg,"0,09","0,06",BRC0076T,Nome não encontrado
Selênio,mcg,"0,65","0,39",BRC0076T,Nome não encontrado
Vitamina A (RE),mcg,"19,5","11,7",BRC0076T,Nome não encontrado
Vitamina A (RAE),mcg,"9,76","5,86",BRC0076T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0076T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,49","0,29",BRC0076T,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC0076T,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0076T,Nome não encontrado
Niacina,mg,"0,38","0,23",BRC0076T,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0076T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0076T,Nome não encontrado
Vitamina C,mg,"4,03","2,42",BRC0076T,Nome não encontrado
Equivalente de folato,mcg,"21,8","13,1",BRC0076T,Nome não encontrado
Sal de adição,g,"0,32","0,19",BRC0076T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0076T,Nome não encontrado
Gordura de adição,g,-,-,BRC0076T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0076T,Nome não encontrado
Proteína animal,g,-,-,BRC0076T,Nome não encontrado
