componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,681,340,749,613,1362,BRC0908A,Nome não encontrado
Energia,kcal,163,81,178,146,325,BRC0908A,Nome não encontrado
Umidade,g,"66,0","33,0","72,6","59,4",132,BRC0908A,Nome não encontrado
Carboidrato total,g,"19,1","9,53","21,0","17,2","38,1",BRC0908A,Nome não encontrado
Carboidrato disponível,g,"16,6","8,30","18,3","14,9","33,2",BRC0908A,Nome não encontrado
Proteína,g,"7,79","3,89","8,56","7,01","15,6",BRC0908A,Nome não encontrado
Lipídios,g,"6,68","3,34","7,34","6,01","13,4",BRC0908A,Nome não encontrado
Fibra alimentar,g,"2,46","1,23","2,70","2,21","4,92",BRC0908A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0908A,Nome não encontrado
Cinzas,g,"0,45","0,22","0,49","0,40","0,89",BRC0908A,Nome não encontrado
Colesterol,mg,100,"50,2",110,"90,3",200,BRC0908A,Nome não encontrado
Ácidos graxos saturados,g,"2,03","1,01","2,23","1,82","4,05",BRC0908A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,47","1,24","2,72","2,22","4,94",BRC0908A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,47","0,74","1,62","1,32","2,94",BRC0908A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,04","0,03","0,06",BRC0908A,Nome não encontrado
Cálcio,mg,"17,2","8,59","18,9","15,5","34,4",BRC0908A,Nome não encontrado
Ferro,mg,"0,83","0,42","0,91","0,75","1,66",BRC0908A,Nome não encontrado
Sódio,mg,"50,5","25,2","55,5","45,4",100,BRC0908A,Nome não encontrado
Magnésio,mg,"11,8","5,91","13,0","10,6","23,6",BRC0908A,Nome não encontrado
Fósforo,mg,"80,8","40,4","88,8","72,7",161,BRC0908A,Nome não encontrado
Potássio,mg,"78,5","39,3","86,4","70,7",157,BRC0908A,Nome não encontrado
Manganês,mg,"0,19","0,10","0,21","0,17","0,38",BRC0908A,Nome não encontrado
Zinco,mg,"0,68","0,34","0,74","0,61","1,35",BRC0908A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,08","0,06","0,14",BRC0908A,Nome não encontrado
Selênio,mcg,"5,82","2,91","6,40","5,24","11,6",BRC0908A,Nome não encontrado
Vitamina A (RE),mcg,"44,6","22,3","49,1","40,1","89,2",BRC0908A,Nome não encontrado
Vitamina A (RAE),mcg,"44,5","22,3","49,0","40,1","89,0",BRC0908A,Nome não encontrado
Vitamina D,mcg,"0,50","0,25","0,55","0,45","1,01",BRC0908A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,48","0,24","0,53","0,43","0,96",BRC0908A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,09","0,07","0,16",BRC0908A,Nome não encontrado
Riboflavina,mg,"0,18","0,09","0,20","0,16","0,37",BRC0908A,Nome não encontrado
Niacina,mg,"1,82","0,91","2,00","1,63","3,63",BRC0908A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,06","0,05","0,11",BRC0908A,Nome não encontrado
Vitamina B12,mcg,"0,31","0,15","0,34","0,28","0,61",BRC0908A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0908A,Nome não encontrado
Equivalente de folato,mcg,"20,5","10,3","22,6","18,5","41,0",BRC0908A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0908A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0908A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0908A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0908A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0908A,Nome não encontrado
