componente,unidade,Valor por 100g,Colher servir cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,880,440,BRC0835B,Nome não encontrado
Energia,kcal,213,106,BRC0835B,Nome não encontrado
Umidade,g,"68,9","34,4",BRC0835B,Nome não encontrado
Carboidrato total,g,"10,6","5,29",BRC0835B,Nome não encontrado
Carboidrato disponível,g,"8,69","4,35",BRC0835B,Nome não encontrado
Proteína,g,"1,29","0,65",BRC0835B,Nome não encontrado
Lipídios,g,"18,8","9,40",BRC0835B,Nome não encontrado
Fibra alimentar,g,"1,90","0,95",BRC0835B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0835B,Nome não encontrado
Cinzas,g,"0,47","0,23",BRC0835B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0835B,Nome não encontrado
Ácidos graxos saturados,g,"2,82","1,41",BRC0835B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,8","5,91",BRC0835B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,89","1,95",BRC0835B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0835B,Nome não encontrado
Cálcio,mg,"13,7","6,85",BRC0835B,Nome não encontrado
Ferro,mg,"0,51","0,26",BRC0835B,Nome não encontrado
Sódio,mg,"1,97","0,99",BRC0835B,Nome não encontrado
Magnésio,mg,"11,5","5,76",BRC0835B,Nome não encontrado
Fósforo,mg,"29,8","14,9",BRC0835B,Nome não encontrado
Potássio,mg,182,"91,3",BRC0835B,Nome não encontrado
Manganês,mg,"0,15","0,08",BRC0835B,Nome não encontrado
Zinco,mg,"0,23","0,12",BRC0835B,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0835B,Nome não encontrado
Selênio,mcg,"0,21","0,11",BRC0835B,Nome não encontrado
Vitamina A (RE),mcg,"26,0","13,0",BRC0835B,Nome não encontrado
Vitamina A (RAE),mcg,"13,1","6,53",BRC0835B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0835B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,54","0,77",BRC0835B,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0835B,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0835B,Nome não encontrado
Niacina,mg,"0,04","0,02",BRC0835B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02",BRC0835B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0835B,Nome não encontrado
Vitamina C,mg,"34,2","17,1",BRC0835B,Nome não encontrado
Equivalente de folato,mcg,"9,69","4,84",BRC0835B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0835B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0835B,Nome não encontrado
Gordura de adição,g,-,-,BRC0835B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0835B,Nome não encontrado
Proteína animal,g,-,-,BRC0835B,Nome não encontrado
