componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,274,657,452,BRC0044G,Nome não encontrado
Energia,kcal,65,156,107,BRC0044G,Nome não encontrado
Umidade,g,"86,7",208,143,BRC0044G,Nome não encontrado
Carboidrato total,g,"7,16","17,2","11,8",BRC0044G,Nome não encontrado
Carboidrato disponível,g,"7,16","17,2","11,8",BRC0044G,Nome não encontrado
Proteína,g,"2,35","5,63","3,87",BRC0044G,Nome não encontrado
Lipídios,g,"3,04","7,30","5,02",BRC0044G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Cinzas,g,"0,78","1,86","1,28",BRC0044G,Nome não encontrado
Colesterol,mg,"10,5","25,2","17,3",BRC0044G,Nome não encontrado
Ácidos graxos saturados,g,"1,40","3,36","2,31",BRC0044G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","1,68","1,16",BRC0044G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,24","0,17",BRC0044G,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,05","0,03",BRC0044G,Nome não encontrado
Cálcio,mg,107,258,177,BRC0044G,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0044G,Nome não encontrado
Sódio,mg,"63,8",153,105,BRC0044G,Nome não encontrado
Magnésio,mg,"10,0","24,0","16,5",BRC0044G,Nome não encontrado
Fósforo,mg,"82,0",196,135,BRC0044G,Nome não encontrado
Potássio,mg,133,319,219,BRC0044G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0044G,Nome não encontrado
Zinco,mg,"0,37","0,88","0,60",BRC0044G,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0044G,Nome não encontrado
Selênio,mcg,"6,94","16,7","11,4",BRC0044G,Nome não encontrado
Vitamina A (RE),mcg,"43,6",104,"71,9",BRC0044G,Nome não encontrado
Vitamina A (RAE),mcg,"42,6",102,"70,3",BRC0044G,Nome não encontrado
Vitamina D,mcg,"1,19","2,87","1,97",BRC0044G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,21","0,15",BRC0044G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0044G,Nome não encontrado
Riboflavina,mg,"0,24","0,58","0,40",BRC0044G,Nome não encontrado
Niacina,mg,"1,52","3,65","2,51",BRC0044G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0044G,Nome não encontrado
Vitamina B12,mcg,"0,51","1,22","0,84",BRC0044G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0044G,Nome não encontrado
Equivalente de folato,mcg,"5,51","13,2","9,09",BRC0044G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0044G,Nome não encontrado
Proteína animal,g,"2,35","5,63","3,87",BRC0044G,Nome não encontrado
