componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,407,69,44,97,56,BRC0138A,Nome não encontrado
Energia,kcal,97,16,10,23,13,BRC0138A,Nome não encontrado
Umidade,g,"75,3","12,8","8,29","18,1","10,5",BRC0138A,Nome não encontrado
Carboidrato total,g,"18,4","3,12","2,02","4,41","2,57",BRC0138A,Nome não encontrado
Carboidrato disponível,g,"14,3","2,42","1,57","3,42","2,00",BRC0138A,Nome não encontrado
Proteína,g,"3,40","0,58","0,37","0,82","0,48",BRC0138A,Nome não encontrado
Lipídios,g,"2,00","0,34","0,22","0,48","0,28",BRC0138A,Nome não encontrado
Fibra alimentar,g,"4,10","0,70","0,45","0,98","0,57",BRC0138A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Cinzas,g,"0,92","0,16","0,10","0,22","0,13",BRC0138A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Ácidos graxos saturados,g,"0,51","0,09","0,06","0,12","0,07",BRC0138A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","0,12","0,07","0,16","0,10",BRC0138A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,13","0,08","0,18","0,11",BRC0138A,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0138A,Nome não encontrado
Cálcio,mg,"2,25","0,38","0,25","0,54","0,32",BRC0138A,Nome não encontrado
Ferro,mg,"0,61","0,10","0,07","0,15","0,09",BRC0138A,Nome não encontrado
Sódio,mg,270,"45,9","29,7","64,9","37,8",BRC0138A,Nome não encontrado
Magnésio,mg,"21,2","3,60","2,33","5,08","2,96",BRC0138A,Nome não encontrado
Fósforo,mg,"63,6","10,8","7,00","15,3","8,91",BRC0138A,Nome não encontrado
Potássio,mg,168,"28,6","18,5","40,4","23,5",BRC0138A,Nome não encontrado
Manganês,mg,"0,10","0,02","0,01","0,02","0,01",BRC0138A,Nome não encontrado
Zinco,mg,"0,52","0,09","0,06","0,12","0,07",BRC0138A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01","0,01","0,01",BRC0138A,Nome não encontrado
Selênio,mcg,,,,,,BRC0138A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0138A,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01","0,01","0,01",BRC0138A,Nome não encontrado
Niacina,mg,"3,88","0,66","0,43","0,93","0,54",BRC0138A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0138A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Vitamina C,mg,"1,81","0,31","0,20","0,43","0,25",BRC0138A,Nome não encontrado
Equivalente de folato,mcg,"21,3","3,63","2,35","5,12","2,99",BRC0138A,Nome não encontrado
Sal de adição,g,,,,,,BRC0138A,Nome não encontrado
Açúcar de adição,g,,,,,,BRC0138A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
Proteína vegetal,g,"3,40","0,58","0,37","0,82","0,48",BRC0138A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0138A,Nome não encontrado
