componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,348,69,452,BRC0668A,Nome não encontrado
Energia,kcal,83,16,107,BRC0668A,Nome não encontrado
Umidade,g,"81,6","16,3",106,BRC0668A,Nome não encontrado
Carboidrato total,g,"10,7","2,14","13,9",BRC0668A,Nome não encontrado
Carboidrato disponível,g,"9,40","1,88","12,2",BRC0668A,Nome não encontrado
Proteína,g,"3,66","0,73","4,75",BRC0668A,Nome não encontrado
Lipídios,g,"3,13","0,63","4,06",BRC0668A,Nome não encontrado
Fibra alimentar,g,"1,30","0,26","1,69",BRC0668A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0668A,Nome não encontrado
Cinzas,g,"0,89","0,18","1,16",BRC0668A,Nome não encontrado
Colesterol,mg,"6,48","1,30","8,42",BRC0668A,Nome não encontrado
Ácidos graxos saturados,g,"0,89","0,18","1,16",BRC0668A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,22","0,24","1,59",BRC0668A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,17","1,10",BRC0668A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0668A,Nome não encontrado
Cálcio,mg,"38,9","7,78","50,6",BRC0668A,Nome não encontrado
Ferro,mg,"0,83","0,17","1,08",BRC0668A,Nome não encontrado
Sódio,mg,258,"51,6",335,BRC0668A,Nome não encontrado
Magnésio,mg,"10,3","2,06","13,4",BRC0668A,Nome não encontrado
Fósforo,mg,"30,0","5,99","38,9",BRC0668A,Nome não encontrado
Potássio,mg,167,"33,4",217,BRC0668A,Nome não encontrado
Manganês,mg,"0,06","0,01","0,07",BRC0668A,Nome não encontrado
Zinco,mg,"0,29","0,06","0,38",BRC0668A,Nome não encontrado
Cobre,mg,"0,04","0,01","0,05",BRC0668A,Nome não encontrado
Selênio,mcg,"0,68","0,14","0,89",BRC0668A,Nome não encontrado
Vitamina A (RE),mcg,"95,5","19,1",124,BRC0668A,Nome não encontrado
Vitamina A (RAE),mcg,"48,1","9,61","62,5",BRC0668A,Nome não encontrado
Vitamina D,mcg,"0,08","0,02","0,11",BRC0668A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,06","0,41",BRC0668A,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,08",BRC0668A,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,06",BRC0668A,Nome não encontrado
Niacina,mg,"0,65","0,13","0,85",BRC0668A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0668A,Nome não encontrado
Vitamina B12,mcg,"0,15","0,03","0,20",BRC0668A,Nome não encontrado
Vitamina C,mg,"5,82","1,16","7,56",BRC0668A,Nome não encontrado
Equivalente de folato,mcg,"29,0","5,81","37,7",BRC0668A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0668A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0668A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0668A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0668A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0668A,Nome não encontrado
