componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,526,263,131,578,473,BRC1043A,Nome não encontrado
Energia,kcal,125,62,31,137,112,BRC1043A,Nome não encontrado
Umidade,g,"71,1","35,5","17,8","78,2","64,0",BRC1043A,Nome não encontrado
Carboidrato total,g,"19,4","9,71","4,85","21,4","17,5",BRC1043A,Nome não encontrado
Carboidrato disponível,g,"18,3","9,13","4,57","20,1","16,4",BRC1043A,Nome não encontrado
Proteína,g,"6,01","3,01","1,50","6,62","5,41",BRC1043A,Nome não encontrado
Lipídios,g,"2,82","1,41","0,71","3,11","2,54",BRC1043A,Nome não encontrado
Fibra alimentar,g,"1,15","0,57","0,29","1,26","1,03",BRC1043A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1043A,Nome não encontrado
Cinzas,g,"0,77","0,38","0,19","0,84","0,69",BRC1043A,Nome não encontrado
Colesterol,mg,"12,2","6,10","3,05","13,4","11,0",BRC1043A,Nome não encontrado
Ácidos graxos saturados,g,"0,69","0,35","0,17","0,76","0,62",BRC1043A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","0,31","0,15","0,68","0,56",BRC1043A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,37","0,68","0,34","1,50","1,23",BRC1043A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,01","0,03","0,02",BRC1043A,Nome não encontrado
Cálcio,mg,"36,9","18,5","9,23","40,6","33,2",BRC1043A,Nome não encontrado
Ferro,mg,"0,46","0,23","0,12","0,51","0,42",BRC1043A,Nome não encontrado
Sódio,mg,"70,7","35,3","17,7","77,7","63,6",BRC1043A,Nome não encontrado
Magnésio,mg,"7,57","3,79","1,89","8,33","6,82",BRC1043A,Nome não encontrado
Fósforo,mg,"75,7","37,8","18,9","83,2","68,1",BRC1043A,Nome não encontrado
Potássio,mg,128,"64,3","32,1",141,115,BRC1043A,Nome não encontrado
Manganês,mg,"0,17","0,08","0,04","0,18","0,15",BRC1043A,Nome não encontrado
Zinco,mg,"0,58","0,29","0,15","0,64","0,53",BRC1043A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,02","0,09","0,07",BRC1043A,Nome não encontrado
Selênio,mcg,"8,49","4,25","2,12","9,34","7,64",BRC1043A,Nome não encontrado
Vitamina A (RE),mcg,"26,1","13,0","6,52","28,7","23,5",BRC1043A,Nome não encontrado
Vitamina A (RAE),mcg,"13,0","6,52","3,26","14,3","11,7",BRC1043A,Nome não encontrado
Vitamina D,mcg,"0,17","0,08","0,04","0,19","0,15",BRC1043A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,45","0,22","0,11","0,49","0,40",BRC1043A,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,01","0,06","0,05",BRC1043A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,02","0,02",BRC1043A,Nome não encontrado
Niacina,mg,"1,73","0,87","0,43","1,90","1,56",BRC1043A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,03","0,03",BRC1043A,Nome não encontrado
Vitamina B12,mcg,"0,70","0,35","0,17","0,77","0,63",BRC1043A,Nome não encontrado
Vitamina C,mg,"3,84","1,92","0,96","4,23","3,46",BRC1043A,Nome não encontrado
Equivalente de folato,mcg,"48,5","24,2","12,1","53,3","43,6",BRC1043A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1043A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1043A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1043A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1043A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1043A,Nome não encontrado
