componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,365,875,602,729,BRC0045H,Nome não encontrado
Energia,kcal,87,208,143,173,BRC0045H,Nome não encontrado
Umidade,g,"80,6",193,133,161,BRC0045H,Nome não encontrado
Carboidrato total,g,"13,6","32,6","22,4","27,2",BRC0045H,Nome não encontrado
Carboidrato disponível,g,"13,0","31,2","21,4","26,0",BRC0045H,Nome não encontrado
Proteína,g,"2,60","6,24","4,29","5,20",BRC0045H,Nome não encontrado
Lipídios,g,"2,57","6,16","4,24","5,13",BRC0045H,Nome não encontrado
Fibra alimentar,g,"0,60","1,43","0,98","1,19",BRC0045H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Cinzas,g,"0,62","1,50","1,03","1,25",BRC0045H,Nome não encontrado
Colesterol,mg,"8,66","20,8","14,3","17,3",BRC0045H,Nome não encontrado
Ácidos graxos saturados,g,"1,56","3,74","2,57","3,11",BRC0045H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,74","1,79","1,23","1,49",BRC0045H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,30","0,20","0,25",BRC0045H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Cálcio,mg,"80,2",192,132,160,BRC0045H,Nome não encontrado
Ferro,mg,"0,59","1,42","0,97","1,18",BRC0045H,Nome não encontrado
Sódio,mg,"51,3",123,"84,7",102,BRC0045H,Nome não encontrado
Magnésio,mg,"16,4","39,4","27,1","32,9",BRC0045H,Nome não encontrado
Fósforo,mg,"79,4",190,130,158,BRC0045H,Nome não encontrado
Potássio,mg,174,418,287,348,BRC0045H,Nome não encontrado
Manganês,mg,"0,06","0,15","0,10","0,13",BRC0045H,Nome não encontrado
Zinco,mg,"0,37","0,90","0,62","0,75",BRC0045H,Nome não encontrado
Cobre,mg,"0,07","0,17","0,12","0,14",BRC0045H,Nome não encontrado
Selênio,mcg,"3,63","8,72","6,00","7,27",BRC0045H,Nome não encontrado
Vitamina A (RE),mcg,114,274,188,228,BRC0045H,Nome não encontrado
Vitamina A (RAE),mcg,113,272,187,227,BRC0045H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,18","0,12","0,15",BRC0045H,Nome não encontrado
Tiamina,mg,"0,17","0,41","0,28","0,34",BRC0045H,Nome não encontrado
Riboflavina,mg,"0,29","0,69","0,47","0,57",BRC0045H,Nome não encontrado
Niacina,mg,"1,60","3,85","2,64","3,21",BRC0045H,Nome não encontrado
Vitamina B6,mg,"0,15","0,37","0,25","0,31",BRC0045H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,63","0,43","0,52",BRC0045H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Equivalente de folato,mcg,"4,63","11,1","7,64","9,26",BRC0045H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0045H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0045H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0045H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0045H,Nome não encontrado
