componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,638,127,829,BRC0745B,Nome não encontrado
Energia,kcal,71,14,92,BRC0745B,Nome não encontrado
Umidade,g,"83,1","16,6",108,BRC0745B,Nome não encontrado
Carboidrato total,g,"8,85","1,77","11,5",BRC0745B,Nome não encontrado
Carboidrato disponível,g,"7,91","1,58","10,3",BRC0745B,Nome não encontrado
Proteína,g,"4,76","0,95","6,19",BRC0745B,Nome não encontrado
Lipídios,g,"2,06","0,41","2,68",BRC0745B,Nome não encontrado
Fibra alimentar,g,"0,94","0,19","1,22",BRC0745B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0745B,Nome não encontrado
Cinzas,g,"1,26","0,25","1,63",BRC0745B,Nome não encontrado
Colesterol,mg,"13,0","2,59","16,8",BRC0745B,Nome não encontrado
Ácidos graxos saturados,g,"0,63","0,13","0,82",BRC0745B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,75","0,15","0,97",BRC0745B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,50","0,10","0,65",BRC0745B,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,06",BRC0745B,Nome não encontrado
Cálcio,mg,"11,6","2,32","15,1",BRC0745B,Nome não encontrado
Ferro,mg,"0,61","0,12","0,79",BRC0745B,Nome não encontrado
Sódio,mg,334,"66,8",434,BRC0745B,Nome não encontrado
Magnésio,mg,"6,05","1,21","7,87",BRC0745B,Nome não encontrado
Fósforo,mg,"31,1","6,23","40,5",BRC0745B,Nome não encontrado
Potássio,mg,148,"29,7",192,BRC0745B,Nome não encontrado
Manganês,mg,"0,13","0,03","0,17",BRC0745B,Nome não encontrado
Zinco,mg,"0,82","0,16","1,06",BRC0745B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,11",BRC0745B,Nome não encontrado
Selênio,mcg,"0,40","0,08","0,52",BRC0745B,Nome não encontrado
Vitamina A (RE),mcg,"45,5","9,10","59,1",BRC0745B,Nome não encontrado
Vitamina A (RAE),mcg,"23,2","4,64","30,2",BRC0745B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0745B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,08","0,55",BRC0745B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0745B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0745B,Nome não encontrado
Niacina,mg,"1,13","0,23","1,47",BRC0745B,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,03",BRC0745B,Nome não encontrado
Vitamina B12,mcg,"0,19","0,04","0,25",BRC0745B,Nome não encontrado
Vitamina C,mg,"7,70","1,54","10,0",BRC0745B,Nome não encontrado
Equivalente de folato,mcg,"6,87","1,37","8,93",BRC0745B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0745B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0745B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0745B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0745B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0745B,Nome não encontrado
