componente,unidade,Valor por 100g,Colher sopa cheia (40 g),Colher sopa rasa (25 g),Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1013,405,253,810,BRC0135G,Nome não encontrado
Energia,kcal,241,96,60,193,BRC0135G,Nome não encontrado
Umidade,g,"48,4","19,3","12,1","38,7",BRC0135G,Nome não encontrado
Carboidrato total,g,"34,7","13,9","8,67","27,8",BRC0135G,Nome não encontrado
Carboidrato disponível,g,"33,6","13,5","8,41","26,9",BRC0135G,Nome não encontrado
Proteína,g,"5,17","2,07","1,29","4,14",BRC0135G,Nome não encontrado
Lipídios,g,"10,7","4,27","2,67","8,54",BRC0135G,Nome não encontrado
Fibra alimentar,g,"1,05","0,42","0,26","0,84",BRC0135G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0135G,Nome não encontrado
Cinzas,g,"1,09","0,44","0,27","0,87",BRC0135G,Nome não encontrado
Colesterol,mg,"18,2","7,26","4,54","14,5",BRC0135G,Nome não encontrado
Ácidos graxos saturados,g,"4,99","2,00","1,25","3,99",BRC0135G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,28","0,91","0,57","1,83",BRC0135G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,13","0,08","0,26",BRC0135G,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,10","0,06","0,19",BRC0135G,Nome não encontrado
Cálcio,mg,181,"72,8","45,5",145,BRC0135G,Nome não encontrado
Ferro,mg,"0,42","0,17","0,11","0,34",BRC0135G,Nome não encontrado
Sódio,mg,"83,8","33,5","21,0","67,1",BRC0135G,Nome não encontrado
Magnésio,mg,"34,0","13,6","8,51","27,2",BRC0135G,Nome não encontrado
Fósforo,mg,136,"54,6","34,1",109,BRC0135G,Nome não encontrado
Potássio,mg,259,103,"64,9",207,BRC0135G,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00","0,01",BRC0135G,Nome não encontrado
Zinco,mg,"1,19","0,47","0,30","0,95",BRC0135G,Nome não encontrado
Cobre,mg,"0,17","0,07","0,04","0,14",BRC0135G,Nome não encontrado
Selênio,mcg,"7,87","3,15","1,97","6,30",BRC0135G,Nome não encontrado
Vitamina A (RE),mcg,"59,8","23,9","15,0","47,8",BRC0135G,Nome não encontrado
Vitamina A (RAE),mcg,"58,8","23,5","14,7","47,0",BRC0135G,Nome não encontrado
Vitamina D,mcg,"0,31","0,12","0,08","0,25",BRC0135G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,09","0,05","0,17",BRC0135G,Nome não encontrado
Tiamina,mg,"0,10","0,04","0,03","0,08",BRC0135G,Nome não encontrado
Riboflavina,mg,"0,20","0,08","0,05","0,16",BRC0135G,Nome não encontrado
Niacina,mg,"1,50","0,60","0,38","1,20",BRC0135G,Nome não encontrado
Vitamina B6,mg,"0,31","0,12","0,08","0,25",BRC0135G,Nome não encontrado
Vitamina B12,mcg,"0,24","0,10","0,06","0,20",BRC0135G,Nome não encontrado
Vitamina C,mg,"3,55","1,42","0,89","2,84",BRC0135G,Nome não encontrado
Equivalente de folato,mcg,"6,19","2,48","1,55","4,95",BRC0135G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0135G,Nome não encontrado
Açúcar de adição,g,,,,,BRC0135G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0135G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0135G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0135G,Nome não encontrado
