componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,248,596,409,BRC0045G,Nome não encontrado
Energia,kcal,59,142,97,BRC0045G,Nome não encontrado
Umidade,g,"88,3",212,145,BRC0045G,Nome não encontrado
Carboidrato total,g,"4,50","10,8","7,43",BRC0045G,Nome não encontrado
Carboidrato disponível,g,"4,50","10,8","7,43",BRC0045G,Nome não encontrado
Proteína,g,"3,26","7,82","5,38",BRC0045G,Nome não encontrado
Lipídios,g,"3,15","7,56","5,20",BRC0045G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Cinzas,g,"0,75","1,80","1,24",BRC0045G,Nome não encontrado
Colesterol,mg,"12,2","29,4","20,2",BRC0045G,Nome não encontrado
Ácidos graxos saturados,g,"1,63","3,92","2,69",BRC0045G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,82","1,96","1,35",BRC0045G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,28","0,19",BRC0045G,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,05","0,03",BRC0045G,Nome não encontrado
Cálcio,mg,110,266,183,BRC0045G,Nome não encontrado
Ferro,mg,"0,04","0,09","0,06",BRC0045G,Nome não encontrado
Sódio,mg,"43,4",104,"71,6",BRC0045G,Nome não encontrado
Magnésio,mg,"10,6","25,5","17,5",BRC0045G,Nome não encontrado
Fósforo,mg,"88,9",213,146,BRC0045G,Nome não encontrado
Potássio,mg,137,330,227,BRC0045G,Nome não encontrado
Manganês,mg,"0,01","0,02","0,02",BRC0045G,Nome não encontrado
Zinco,mg,"0,40","0,96","0,66",BRC0045G,Nome não encontrado
Cobre,mg,"0,01","0,02","0,02",BRC0045G,Nome não encontrado
Selênio,mcg,,,,BRC0045G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0045G,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0045G,Nome não encontrado
Vitamina D,mcg,"0,10","0,24","0,17",BRC0045G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,21","0,15",BRC0045G,Nome não encontrado
Tiamina,mg,"0,04","0,09","0,06",BRC0045G,Nome não encontrado
Riboflavina,mg,"0,18","0,44","0,30",BRC0045G,Nome não encontrado
Niacina,mg,"0,82","1,97","1,35",BRC0045G,Nome não encontrado
Vitamina B6,mg,"0,05","0,11","0,07",BRC0045G,Nome não encontrado
Vitamina B12,mcg,"0,43","1,03","0,71",BRC0045G,Nome não encontrado
Vitamina C,mg,"1,15","2,75","1,89",BRC0045G,Nome não encontrado
Equivalente de folato,mcg,"10,5","25,2","17,4",BRC0045G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0045G,Nome não encontrado
Proteína animal,g,"3,30","7,91","5,44",BRC0045G,Nome não encontrado
