componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,304,106,51,425,243,BRC0107T,Nome não encontrado
Energia,kcal,73,25,12,102,58,BRC0107T,Nome não encontrado
Umidade,g,"79,1","27,7","13,4",110,"63,2",BRC0107T,Nome não encontrado
Carboidrato total,g,"14,1","4,92","2,39","19,7","11,2",BRC0107T,Nome não encontrado
Carboidrato disponível,g,"5,93","2,08","1,01","8,31","4,75",BRC0107T,Nome não encontrado
Proteína,g,"4,41","1,54","0,75","6,17","3,53",BRC0107T,Nome não encontrado
Lipídios,g,"1,72","0,60","0,29","2,40","1,37",BRC0107T,Nome não encontrado
Fibra alimentar,g,"8,12","2,84","1,38","11,4","6,49",BRC0107T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Cinzas,g,"0,77","0,27","0,13","1,07","0,61",BRC0107T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,10","0,05","0,39","0,22",BRC0107T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,13","0,06","0,53","0,30",BRC0107T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,35","0,17","1,41","0,81",BRC0107T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,00",BRC0107T,Nome não encontrado
Cálcio,mg,"28,4","9,94","4,83","39,7","22,7",BRC0107T,Nome não encontrado
Ferro,mg,"1,41","0,49","0,24","1,98","1,13",BRC0107T,Nome não encontrado
Sódio,mg,"1,86","0,65","0,32","2,60","1,48",BRC0107T,Nome não encontrado
Magnésio,mg,"39,2","13,7","6,66","54,8","31,3",BRC0107T,Nome não encontrado
Fósforo,mg,"87,3","30,6","14,8",122,"69,9",BRC0107T,Nome não encontrado
Potássio,mg,258,"90,6","44,0",362,207,BRC0107T,Nome não encontrado
Manganês,mg,"0,36","0,12","0,06","0,50","0,28",BRC0107T,Nome não encontrado
Zinco,mg,"1,77","0,62","0,30","2,48","1,42",BRC0107T,Nome não encontrado
Cobre,mg,"0,54","0,19","0,09","0,75","0,43",BRC0107T,Nome não encontrado
Selênio,mcg,"2,61","0,91","0,44","3,65","2,09",BRC0107T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,06","0,03","0,22","0,13",BRC0107T,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,01","0,09","0,05",BRC0107T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0107T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0107T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,06","0,03",BRC0107T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Vitamina C,mg,"0,45","0,16","0,08","0,63","0,36",BRC0107T,Nome não encontrado
Equivalente de folato,mcg,"82,4","28,8","14,0",115,"65,9",BRC0107T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0107T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0107T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0107T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0107T,Nome não encontrado
