componente,unidade,Valor por 100g,Xícara chá (220 mL),codigo_alimento,nome_alimento
Energia,kJ,395,868,BRC0059C,Nome não encontrado
Energia,kcal,93,205,BRC0059C,Nome não encontrado
Umidade,g,"75,1",165,BRC0059C,Nome não encontrado
Carboidrato total,g,"22,5","49,5",BRC0059C,Nome não encontrado
Carboidrato disponível,g,"20,1","44,2",BRC0059C,Nome não encontrado
Proteína,g,"1,40","3,08",BRC0059C,Nome não encontrado
Lipídios,g,"0,27","0,58",BRC0059C,Nome não encontrado
Fibra alimentar,g,"2,39","5,25",BRC0059C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059C,Nome não encontrado
Cinzas,g,"0,76","1,67",BRC0059C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0059C,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,22",BRC0059C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,22",BRC0059C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0059C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0059C,Nome não encontrado
Cálcio,mg,"11,2","24,7",BRC0059C,Nome não encontrado
Ferro,mg,"0,38","0,84",BRC0059C,Nome não encontrado
Sódio,mg,"1,80","3,96",BRC0059C,Nome não encontrado
Magnésio,mg,"40,1","88,1",BRC0059C,Nome não encontrado
Fósforo,mg,"13,9","30,6",BRC0059C,Nome não encontrado
Potássio,mg,233,514,BRC0059C,Nome não encontrado
Manganês,mg,"0,49","1,07",BRC0059C,Nome não encontrado
Zinco,mg,"0,17","0,37",BRC0059C,Nome não encontrado
Cobre,mg,"0,09","0,20",BRC0059C,Nome não encontrado
Selênio,mcg,,,BRC0059C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0059C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0059C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0059C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,31",BRC0059C,Nome não encontrado
Tiamina,mg,"0,10","0,22",BRC0059C,Nome não encontrado
Riboflavina,mg,"0,04","0,08",BRC0059C,Nome não encontrado
Niacina,mg,traços,traços,BRC0059C,Nome não encontrado
Vitamina B6,mg,"0,05","0,10",BRC0059C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0059C,Nome não encontrado
Vitamina C,mg,"14,8","32,6",BRC0059C,Nome não encontrado
Equivalente de folato,mcg,"22,5","49,6",BRC0059C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0059C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0059C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0059C,Nome não encontrado
Proteína vegetal,g,"1,40","3,08",BRC0059C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0059C,Nome não encontrado
