componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,247,592,407,493,BRC0043H,Nome não encontrado
Energia,kcal,59,140,96,117,BRC0043H,Nome não encontrado
Umidade,g,"86,8",208,143,173,BRC0043H,Nome não encontrado
Carboidrato total,g,"9,42","22,6","15,5","18,8",BRC0043H,Nome não encontrado
Carboidrato disponível,g,"9,42","22,6","15,5","18,8",BRC0043H,Nome não encontrado
Proteína,g,"1,72","4,13","2,84","3,44",BRC0043H,Nome não encontrado
Lipídios,g,"1,55","3,73","2,56","3,11",BRC0043H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Cinzas,g,"0,52","1,26","0,86","1,05",BRC0043H,Nome não encontrado
Colesterol,mg,"5,81","14,0","9,59","11,6",BRC0043H,Nome não encontrado
Ácidos graxos saturados,g,"0,95","2,28","1,57","1,90",BRC0043H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,46","1,11","0,76","0,93",BRC0043H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,13","0,09","0,11",BRC0043H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Cálcio,mg,"52,1",125,"86,0",104,BRC0043H,Nome não encontrado
Ferro,mg,"0,04","0,10","0,07","0,08",BRC0043H,Nome não encontrado
Sódio,mg,"31,2","74,8","51,4","62,4",BRC0043H,Nome não encontrado
Magnésio,mg,"9,14","21,9","15,1","18,3",BRC0043H,Nome não encontrado
Fósforo,mg,"43,0",103,"70,9","86,0",BRC0043H,Nome não encontrado
Potássio,mg,136,326,224,272,BRC0043H,Nome não encontrado
Manganês,mg,"0,02","0,04","0,03","0,04",BRC0043H,Nome não encontrado
Zinco,mg,"0,18","0,43","0,30","0,36",BRC0043H,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02","0,02",BRC0043H,Nome não encontrado
Selênio,mcg,"2,30","5,51","3,79","4,59",BRC0043H,Nome não encontrado
Vitamina A (RE),mcg,"23,3","56,0","38,5","46,6",BRC0043H,Nome não encontrado
Vitamina A (RAE),mcg,"22,9","55,0","37,8","45,9",BRC0043H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,09","0,10",BRC0043H,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04","0,05",BRC0043H,Nome não encontrado
Riboflavina,mg,"0,15","0,36","0,25","0,30",BRC0043H,Nome não encontrado
Niacina,mg,"0,80","1,93","1,33","1,61",BRC0043H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Vitamina B12,mcg,"0,18","0,42","0,29","0,35",BRC0043H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Equivalente de folato,mcg,"3,38","8,10","5,57","6,75",BRC0043H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0043H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0043H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0043H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0043H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0043H,Nome não encontrado
