componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1009,252,60,BRC0774F,Nome não encontrado
Energia,kcal,243,60,14,BRC0774F,Nome não encontrado
Umidade,g,"60,0","15,0","3,60",BRC0774F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Proteína,g,"20,9","5,23","1,26",BRC0774F,Nome não encontrado
Lipídios,g,"17,6","4,41","1,06",BRC0774F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Cinzas,g,"1,41","0,35","0,08",BRC0774F,Nome não encontrado
Colesterol,mg,151,"37,8","9,06",BRC0774F,Nome não encontrado
Ácidos graxos saturados,g,"4,65","1,16","0,28",BRC0774F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,98","1,49","0,36",BRC0774F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,23","0,81","0,19",BRC0774F,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,02","0,01",BRC0774F,Nome não encontrado
Cálcio,mg,"7,04","1,76","0,42",BRC0774F,Nome não encontrado
Ferro,mg,"6,21","1,55","0,37",BRC0774F,Nome não encontrado
Sódio,mg,"91,1","22,8","5,47",BRC0774F,Nome não encontrado
Magnésio,mg,"25,3","6,34","1,52",BRC0774F,Nome não encontrado
Fósforo,mg,216,"54,1","13,0",BRC0774F,Nome não encontrado
Potássio,mg,210,"52,7","12,7",BRC0774F,Nome não encontrado
Manganês,mg,"0,08","0,02","0,00",BRC0774F,Nome não encontrado
Zinco,mg,"2,94","0,74","0,18",BRC0774F,Nome não encontrado
Cobre,mg,"0,25","0,06","0,02",BRC0774F,Nome não encontrado
Selênio,mcg,"8,04","2,01","0,48",BRC0774F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0774F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0774F,Nome não encontrado
Vitamina D,mcg,,,,BRC0774F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0774F,Nome não encontrado
Tiamina,mg,"0,25","0,06","0,02",BRC0774F,Nome não encontrado
Riboflavina,mg,"0,45","0,11","0,03",BRC0774F,Nome não encontrado
Niacina,mg,"2,71","0,68","0,16",BRC0774F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0774F,Nome não encontrado
Vitamina B12,mcg,"8,18","2,05","0,49",BRC0774F,Nome não encontrado
Vitamina C,mg,"4,19","1,05","0,25",BRC0774F,Nome não encontrado
Equivalente de folato,mcg,"87,5","21,9","5,25",BRC0774F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0774F,Nome não encontrado
Proteína animal,g,"20,9","5,23","1,26",BRC0774F,Nome não encontrado
