componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,549,274,603,493,1097,BRC0609A,Nome não encontrado
Energia,kcal,130,65,143,117,260,BRC0609A,Nome não encontrado
Umidade,g,"68,6","34,3","75,4","61,7",137,BRC0609A,Nome não encontrado
Carboidrato total,g,"19,3","9,66","21,3","17,4","38,7",BRC0609A,Nome não encontrado
Carboidrato disponível,g,"16,4","8,22","18,1","14,8","32,9",BRC0609A,Nome não encontrado
Proteína,g,"7,12","3,56","7,83","6,41","14,2",BRC0609A,Nome não encontrado
Lipídios,g,"3,34","1,67","3,68","3,01","6,68",BRC0609A,Nome não encontrado
Fibra alimentar,g,"2,89","1,44","3,18","2,60","5,77",BRC0609A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0609A,Nome não encontrado
Cinzas,g,"1,65","0,83","1,82","1,49","3,31",BRC0609A,Nome não encontrado
Colesterol,mg,"24,5","12,3","27,0","22,1","49,1",BRC0609A,Nome não encontrado
Ácidos graxos saturados,g,"1,42","0,71","1,56","1,28","2,84",BRC0609A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","0,39","0,85","0,69","1,54",BRC0609A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,70","0,35","0,77","0,63","1,40",BRC0609A,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,03","0,08","0,06","0,14",BRC0609A,Nome não encontrado
Cálcio,mg,"68,9","34,4","75,8","62,0",137,BRC0609A,Nome não encontrado
Ferro,mg,"2,31","1,16","2,55","2,08","4,63",BRC0609A,Nome não encontrado
Sódio,mg,415,207,456,373,830,BRC0609A,Nome não encontrado
Magnésio,mg,"15,7","7,84","17,2","14,1","31,4",BRC0609A,Nome não encontrado
Fósforo,mg,"95,6","47,8",105,"86,1",191,BRC0609A,Nome não encontrado
Potássio,mg,"98,4","49,2",108,"88,6",196,BRC0609A,Nome não encontrado
Manganês,mg,"0,30","0,15","0,32","0,27","0,59",BRC0609A,Nome não encontrado
Zinco,mg,"0,78","0,39","0,86","0,70","1,56",BRC0609A,Nome não encontrado
Cobre,mg,"0,21","0,10","0,23","0,19","0,41",BRC0609A,Nome não encontrado
Selênio,mcg,"1,82","0,91","2,00","1,64","3,64",BRC0609A,Nome não encontrado
Vitamina A (RE),mcg,"25,4","12,7","27,9","22,8","50,7",BRC0609A,Nome não encontrado
Vitamina A (RAE),mcg,"16,3","8,16","18,0","14,7","32,7",BRC0609A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,05","0,04","0,08",BRC0609A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,19","0,41","0,34","0,75",BRC0609A,Nome não encontrado
Tiamina,mg,"0,09","0,04","0,10","0,08","0,18",BRC0609A,Nome não encontrado
Riboflavina,mg,"0,09","0,05","0,10","0,08","0,18",BRC0609A,Nome não encontrado
Niacina,mg,"1,49","0,74","1,63","1,34","2,97",BRC0609A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,09","0,07","0,16",BRC0609A,Nome não encontrado
Vitamina B12,mcg,"0,65","0,32","0,71","0,58","1,30",BRC0609A,Nome não encontrado
Vitamina C,mg,"3,58","1,79","3,94","3,22","7,16",BRC0609A,Nome não encontrado
Equivalente de folato,mcg,"16,7","8,33","18,3","15,0","33,3",BRC0609A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0609A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0609A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0609A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0609A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0609A,Nome não encontrado
