componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,980,BRC1026F,Nome não encontrado
Energia,kcal,233,BRC1026F,Nome não encontrado
Umidade,g,"51,8",BRC1026F,Nome não encontrado
Carboidrato total,g,"14,7",BRC1026F,Nome não encontrado
Carboidrato disponível,g,"14,0",BRC1026F,Nome não encontrado
Proteína,g,"23,3",BRC1026F,Nome não encontrado
Lipídios,g,"9,20",BRC1026F,Nome não encontrado
Fibra alimentar,g,"0,71",BRC1026F,Nome não encontrado
Álcool,g,"0,00",BRC1026F,Nome não encontrado
Cinzas,g,"0,95",BRC1026F,Nome não encontrado
Colesterol,mg,101,BRC1026F,Nome não encontrado
Ácidos graxos saturados,g,"1,68",BRC1026F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,31",BRC1026F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,80",BRC1026F,Nome não encontrado
Ácidos graxos trans,g,"0,07",BRC1026F,Nome não encontrado
Cálcio,mg,"20,3",BRC1026F,Nome não encontrado
Ferro,mg,"3,81",BRC1026F,Nome não encontrado
Sódio,mg,110,BRC1026F,Nome não encontrado
Magnésio,mg,"22,0",BRC1026F,Nome não encontrado
Fósforo,mg,175,BRC1026F,Nome não encontrado
Potássio,mg,268,BRC1026F,Nome não encontrado
Manganês,mg,"0,21",BRC1026F,Nome não encontrado
Zinco,mg,"3,17",BRC1026F,Nome não encontrado
Cobre,mg,"0,07",BRC1026F,Nome não encontrado
Selênio,mcg,"6,26",BRC1026F,Nome não encontrado
Vitamina A (RE),mcg,"20,9",BRC1026F,Nome não encontrado
Vitamina A (RAE),mcg,"20,9",BRC1026F,Nome não encontrado
Vitamina D,mcg,"0,19",BRC1026F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,82",BRC1026F,Nome não encontrado
Tiamina,mg,"0,08",BRC1026F,Nome não encontrado
Riboflavina,mg,"0,27",BRC1026F,Nome não encontrado
Niacina,mg,"3,17",BRC1026F,Nome não encontrado
Vitamina B6,mg,"0,08",BRC1026F,Nome não encontrado
Vitamina B12,mcg,"0,89",BRC1026F,Nome não encontrado
Vitamina C,mg,traços,BRC1026F,Nome não encontrado
Equivalente de folato,mcg,"50,1",BRC1026F,Nome não encontrado
Sal de adição,g,,BRC1026F,Nome não encontrado
Açúcar de adição,g,,BRC1026F,Nome não encontrado
Gordura de adição,g,-,BRC1026F,Nome não encontrado
Proteína vegetal,g,-,BRC1026F,Nome não encontrado
Proteína animal,g,-,BRC1026F,Nome não encontrado
