componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,506,278,202,BRC0900A,Nome não encontrado
Energia,kcal,120,66,48,BRC0900A,Nome não encontrado
Umidade,g,"71,3","39,2","28,5",BRC0900A,Nome não encontrado
Carboidrato total,g,"21,8","12,0","8,73",BRC0900A,Nome não encontrado
Carboidrato disponível,g,"18,6","10,2","7,43",BRC0900A,Nome não encontrado
Proteína,g,"3,71","2,04","1,48",BRC0900A,Nome não encontrado
Lipídios,g,"2,75","1,51","1,10",BRC0900A,Nome não encontrado
Fibra alimentar,g,"3,25","1,79","1,30",BRC0900A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Cinzas,g,"0,47","0,26","0,19",BRC0900A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Ácidos graxos saturados,g,"0,51","0,28","0,20",BRC0900A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","0,40","0,29",BRC0900A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,47","0,81","0,59",BRC0900A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0900A,Nome não encontrado
Cálcio,mg,"7,51","4,13","3,00",BRC0900A,Nome não encontrado
Ferro,mg,"0,54","0,30","0,22",BRC0900A,Nome não encontrado
Sódio,mg,"0,83","0,46","0,33",BRC0900A,Nome não encontrado
Magnésio,mg,"22,9","12,6","9,17",BRC0900A,Nome não encontrado
Fósforo,mg,"64,2","35,3","25,7",BRC0900A,Nome não encontrado
Potássio,mg,110,"60,6","44,1",BRC0900A,Nome não encontrado
Manganês,mg,"0,26","0,14","0,10",BRC0900A,Nome não encontrado
Zinco,mg,"0,54","0,30","0,22",BRC0900A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0900A,Nome não encontrado
Selênio,mcg,"0,59","0,33","0,24",BRC0900A,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0900A,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0900A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,24","0,17",BRC0900A,Nome não encontrado
Tiamina,mg,"0,06","0,04","0,03",BRC0900A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0900A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0900A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03",BRC0900A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Vitamina C,mg,"0,76","0,42","0,31",BRC0900A,Nome não encontrado
Equivalente de folato,mcg,"45,5","25,0","18,2",BRC0900A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0900A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0900A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0900A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0900A,Nome não encontrado
