componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,207,41,269,BRC0750B,Nome não encontrado
Energia,kcal,50,9,64,BRC0750B,Nome não encontrado
Umidade,g,"90,2","18,0",117,BRC0750B,Nome não encontrado
Carboidrato total,g,"4,75","0,95","6,18",BRC0750B,Nome não encontrado
Carboidrato disponível,g,"3,76","0,75","4,88",BRC0750B,Nome não encontrado
Proteína,g,"1,72","0,34","2,23",BRC0750B,Nome não encontrado
Lipídios,g,"2,86","0,57","3,72",BRC0750B,Nome não encontrado
Fibra alimentar,g,"1,00","0,20","1,30",BRC0750B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0750B,Nome não encontrado
Cinzas,g,"0,49","0,10","0,63",BRC0750B,Nome não encontrado
Colesterol,mg,"5,93","1,19","7,71",BRC0750B,Nome não encontrado
Ácidos graxos saturados,g,"1,35","0,27","1,76",BRC0750B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","0,14","0,92",BRC0750B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,11","0,70",BRC0750B,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,06",BRC0750B,Nome não encontrado
Cálcio,mg,"53,5","10,7","69,5",BRC0750B,Nome não encontrado
Ferro,mg,"0,24","0,05","0,31",BRC0750B,Nome não encontrado
Sódio,mg,"19,9","3,98","25,9",BRC0750B,Nome não encontrado
Magnésio,mg,"17,1","3,41","22,2",BRC0750B,Nome não encontrado
Fósforo,mg,"33,7","6,74","43,8",BRC0750B,Nome não encontrado
Potássio,mg,123,"24,7",160,BRC0750B,Nome não encontrado
Manganês,mg,"0,29","0,06","0,37",BRC0750B,Nome não encontrado
Zinco,mg,"0,19","0,04","0,25",BRC0750B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0750B,Nome não encontrado
Selênio,mcg,"1,24","0,25","1,61",BRC0750B,Nome não encontrado
Vitamina A (RE),mcg,149,"29,8",193,BRC0750B,Nome não encontrado
Vitamina A (RAE),mcg,"87,8","17,6",114,BRC0750B,Nome não encontrado
Vitamina D,mcg,"0,26","0,05","0,34",BRC0750B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,99","0,20","1,29",BRC0750B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0750B,Nome não encontrado
Riboflavina,mg,"0,11","0,02","0,14",BRC0750B,Nome não encontrado
Niacina,mg,"0,37","0,07","0,48",BRC0750B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0750B,Nome não encontrado
Vitamina B12,mcg,"0,08","0,02","0,11",BRC0750B,Nome não encontrado
Vitamina C,mg,"0,90","0,18","1,17",BRC0750B,Nome não encontrado
Equivalente de folato,mcg,"42,8","8,56","55,6",BRC0750B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0750B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0750B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0750B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0750B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0750B,Nome não encontrado
