componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,452,90,587,BRC0123T,Nome não encontrado
Energia,kcal,120,23,155,BRC0123T,Nome não encontrado
Umidade,g,"75,9","15,2","98,7",BRC0123T,Nome não encontrado
Carboidrato total,g,"11,8","2,36","15,4",BRC0123T,Nome não encontrado
Carboidrato disponível,g,"9,97","1,99","13,0",BRC0123T,Nome não encontrado
Proteína,g,"5,19","1,04","6,75",BRC0123T,Nome não encontrado
Lipídios,g,"6,16","1,23","8,01",BRC0123T,Nome não encontrado
Fibra alimentar,g,"1,84","0,37","2,39",BRC0123T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0123T,Nome não encontrado
Cinzas,g,"0,99","0,20","1,28",BRC0123T,Nome não encontrado
Colesterol,mg,"10,4","2,08","13,5",BRC0123T,Nome não encontrado
Ácidos graxos saturados,g,"2,36","0,47","3,07",BRC0123T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,05","0,41","2,67",BRC0123T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,30","0,26","1,69",BRC0123T,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,02","0,10",BRC0123T,Nome não encontrado
Cálcio,mg,"31,7","6,34","41,2",BRC0123T,Nome não encontrado
Ferro,mg,"0,70","0,14","0,90",BRC0123T,Nome não encontrado
Sódio,mg,211,"42,3",275,BRC0123T,Nome não encontrado
Magnésio,mg,"13,5","2,69","17,5",BRC0123T,Nome não encontrado
Fósforo,mg,"75,0","15,0","97,5",BRC0123T,Nome não encontrado
Potássio,mg,129,"25,8",167,BRC0123T,Nome não encontrado
Manganês,mg,"0,08","0,02","0,11",BRC0123T,Nome não encontrado
Zinco,mg,"0,63","0,13","0,82",BRC0123T,Nome não encontrado
Cobre,mg,"0,11","0,02","0,15",BRC0123T,Nome não encontrado
Selênio,mcg,"1,44","0,29","1,88",BRC0123T,Nome não encontrado
Vitamina A (RE),mcg,"60,8","12,2","79,0",BRC0123T,Nome não encontrado
Vitamina A (RAE),mcg,"43,7","8,74","56,8",BRC0123T,Nome não encontrado
Vitamina D,mcg,"0,26","0,05","0,34",BRC0123T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,04","0,25",BRC0123T,Nome não encontrado
Tiamina,mg,"0,09","0,02","0,11",BRC0123T,Nome não encontrado
Riboflavina,mg,"0,07","0,01","0,09",BRC0123T,Nome não encontrado
Niacina,mg,"0,96","0,19","1,25",BRC0123T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0123T,Nome não encontrado
Vitamina B12,mcg,"0,17","0,03","0,22",BRC0123T,Nome não encontrado
Vitamina C,mg,"0,64","0,13","0,83",BRC0123T,Nome não encontrado
Equivalente de folato,mcg,"26,7","5,34","34,7",BRC0123T,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC0123T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0123T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0123T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0123T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0123T,Nome não encontrado
