componente,unidade,Valor por 100g,Colher sopa cheia (40 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,451,180,112,BRC0023K,Nome não encontrado
Energia,kcal,106,42,26,BRC0023K,Nome não encontrado
Umidade,g,"73,5","29,4","18,4",BRC0023K,Nome não encontrado
Carboidrato total,g,"24,2","9,69","6,06",BRC0023K,Nome não encontrado
Carboidrato disponível,g,"24,2","9,69","6,06",BRC0023K,Nome não encontrado
Proteína,g,"2,13","0,85","0,53",BRC0023K,Nome não encontrado
Lipídios,g,"0,07","0,03","0,02",BRC0023K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0023K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0023K,Nome não encontrado
Cinzas,g,"0,09","0,04","0,02",BRC0023K,Nome não encontrado
Colesterol,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0023K,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0023K,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0023K,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0023K,Nome não encontrado
Cálcio,mg,"3,52","1,41","0,88",BRC0023K,Nome não encontrado
Ferro,mg,"0,12","0,05","0,03",BRC0023K,Nome não encontrado
Sódio,mg,"42,7","17,1","10,7",BRC0023K,Nome não encontrado
Magnésio,mg,"0,75","0,30","0,19",BRC0023K,Nome não encontrado
Fósforo,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Potássio,mg,"2,01","0,80","0,50",BRC0023K,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Cobre,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Selênio,mcg,,,,BRC0023K,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0023K,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0023K,Nome não encontrado
Vitamina D,mcg,,,,BRC0023K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0023K,Nome não encontrado
Tiamina,mg,"0,19","0,08","0,05",BRC0023K,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Vitamina B6,mg,"0,22","0,09","0,06",BRC0023K,Nome não encontrado
Vitamina B12,mcg,,,,BRC0023K,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0023K,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0023K,Nome não encontrado
Sal de adição,g,,,,BRC0023K,Nome não encontrado
Açúcar de adição,g,,,,BRC0023K,Nome não encontrado
Gordura de adição,g,,,,BRC0023K,Nome não encontrado
Proteína vegetal,g,,,,BRC0023K,Nome não encontrado
Proteína animal,g,,,,BRC0023K,Nome não encontrado
